riverseg,landseg,area(acres)***
EL0_5762_0000,N24045,7632.922584
EL0_5763_0000,N24039,11069.67377
EL0_5764_0000,N24045,101.3070001
EL0_5765_0000,N24039,1047.040026
EL0_5766_0000,N24019,68.56300482
EL0_5767_0001,N24045,8999.811241
EL0_5890_0000,N24019,1018.823979
EL0_5890_0000,N24039,2446.681011
EL0_5891_0000,N24039,1372.191051
EL0_5892_0000,N24039,2690.70284
EL0_5893_0000,N24039,1465.813971
EL0_5894_0000,N24039,1039.615016
EL0_5895_0000,N51001,226.4830018
EL0_5896_0000,N51001,540.9049967
EL0_5973_0000,N51001,6940.356932
EL0_6001_0000,N24039,33269.16021
EL0_6002_0000,N24039,8935.196082
EL0_6003_0000,N24039,13409.25248
EL0_6004_0000,N24039,59.53300141
EL0_6010_0000,N24039,2229.345972
EL0_6011_0000,N24039,3757.691134
EL0_6190_0000,N51001,25244.82392
EL0_6191_0000,N51001,7022.799737
EL0_6480_0000,N51001,9965.230017
EL0_6550_0000,N51001,12465.57881
EL0_6610_0000,N51001,17731.58959
EL0_6610_0000,N51131,23577.10198
EL0_6920_0000,N51131,16466.79691
EL0_7060_0000,N51131,11008.17987
EL0_7220_0000,N51131,9233.780991
EL1_5150_0001,N24019,10063.39051
EL1_5430_0001,N24045,17878.91371
EL1_5430_0001,N24047,11180.45707
EL1_5570_0001,N24039,9960.349575
EL1_5570_0001,N24045,2760.313931
EL1_5570_0001,N24047,25466.47911
EL1_5660_0000,N24047,14238.8568
EL1_6000_0001,N24039,8251.415086
EL2_4400_4590,N10001,30324.34003
EL2_4590_0001,N10001,8912.080177
EL2_4590_0001,N10005,22108.80888
EL2_4590_0001,N24011,22553.55506
EL2_4630_0000,N10005,52120.88041
EL2_4630_0000,N24011,438.241005
EL2_4630_0000,N24019,1360.145045
EL2_4630_0000,N24045,188.7149981
EL2_4634_0000,N24019,9363.075274
EL2_4634_0000,N24045,1224.927024
EL2_5110_5270,N10005,22459.98241
EL2_5110_5270,N24045,8527.767525
EL2_5110_5270,N24047,5232.694515
EL2_5270_0001,N24045,22829.03475
EL2_5270_0001,N24047,43207.61243
EL2_5272_5270,N24045,12510.11685
EL3_5870_0000,N24047,32644.20381
EL3_5970_0000,N24039,7516.722178
EL3_5970_0000,N24047,4739.435036
EL3_5971_0000,N24039,9800.215057
EL3_5971_0000,N24047,5080.097189
EL3_5972_0000,N24047,11768.71473
EL3_5972_0000,N51001,15185.30889
EL3_5974_0000,N24039,9546.011661
EM0_4322_0000,N24011,7989.634768
EM0_4322_0000,N24019,7118.152756
EM0_4323_0000,N24011,4825.6269
EM0_4324_0000,N24011,6578.731982
EM0_4324_0000,N24041,20568.10755
EM0_4327_0000,N24011,5571.059965
EM0_4551_0000,N24041,1138.982004
EM0_4870_0000,N24041,10974.97748
EM0_4871_0000,N24041,6433.741249
EM0_4874_0000,N24041,22779.76332
EM0_4875_0000,N24041,6905.202063
EM0_4876_0000,N24041,4848.907294
EM0_4880_0000,N24019,10766.12209
EM0_4881_0000,N24019,9248.542831
EM0_4882_0000,N24041,11694.14846
EM0_4883_0000,N24019,7227.069671
EM0_4884_0000,N24019,2388.454016
EM0_4885_0000,N24019,9171.349694
EM0_4886_0000,N24019,1620.549993
EM0_4887_0000,N24019,618.0949712
EM0_4888_0000,N24019,3237.941826
EM0_4889_0000,N24019,2999.106022
EM0_4890_0000,N24019,2513.670874
EM0_4891_0000,N24019,271.619991
EM0_5260_0000,N24019,4713.949021
EM0_5261_0000,N24019,2082.080001
EM0_5263_0000,N24019,248.0310059
EM2_3980_0001,N10001,52282.96857
EM2_3980_0001,N24011,20731.99253
EM2_3980_0001,N24035,1929.698949
EM2_4100_0001,N24011,21848.97458
EM2_4100_0001,N24035,40104.39907
EM2_4101_0000,N24011,13185.45503
EM2_4101_0000,N24035,5717.062945
EM2_4101_0000,N24041,15213.74174
EM3_4320_0000,N24011,22505.03118
EM3_4321_0000,N24011,18035.32001
EM3_4325_0000,N24011,30025.13662
EM3_4326_0000,N10001,12380.81829
EM4_4740_0000,N24011,9876.348624
EM4_4740_0000,N24041,14000.85334
EU0_2940_0000,N24015,13706.80723
EU0_2941_0000,N24015,3456.475109
EU0_2985_0000,N24015,3276.087027
EU0_3010_0000,N10003,7240.788106
EU0_3010_0000,N24015,8680.603738
EU0_3011_0000,N10003,3421.339191
EU0_3050_0000,N24015,9708.946109
EU0_3130_0000,N24015,5450.56598
EU0_3131_0000,N24015,6108.775035
EU0_3200_0000,N24015,9142.542899
EU0_3201_0000,N10003,5605.729867
EU0_3201_0000,N24015,7078.65294
EU0_3202_0000,N24015,2425.973919
EU0_3203_0000,N24015,7488.574804
EU0_3300_0000,N24015,7714.317109
EU0_3301_0000,N24015,3426.940943
EU0_3302_0000,N24015,1902.495992
EU0_3360_0000,N24015,7060.263889
EU0_3360_0000,N24029,8445.715905
EU0_3361_0000,N10003,5246.199191
EU0_3361_0000,N24015,2785.627101
EU0_3361_0000,N24029,2937.946064
EU0_3362_0000,N24015,4763.791254
EU0_3362_0000,N24029,10281.50101
EU0_3363_0000,N24015,2106.28999
EU0_3363_0000,N24029,9024.295115
EU0_3364_0000,N24015,98.69799984
EU0_3570_0000,N24029,13110.45115
EU0_3571_0000,N24029,7457.433808
EU0_3572_0000,N24029,3233.681853
EU0_3573_0000,N24029,8574.698163
EU0_3700_0000,N24029,3605.225863
EU0_3700_0000,N24035,7757.301958
EU0_3720_0000,N24029,10840.84865
EU0_3720_0000,N24035,6635.59276
EU0_3721_0000,N24035,4617.275896
EU0_3722_0000,N24035,14906.90988
EU0_3724_0000,N24029,16318.99897
EU0_3725_0000,N24029,3917.845113
EU0_3726_0001,N24029,5493.870991
EU0_3830_0001,N24035,12828.62118
EU0_4010_0000,N24029,7149.72807
EU0_4011_0000,N24029,5640.341735
EU0_4012_0000,N24029,2940.053953
EU0_4013_0000,N24029,7628.750127
EU0_4014_0000,N24029,6064.358879
EU0_4015_0000,N24029,3678.048983
EU0_4016_0000,N24029,934.8739757
EU0_4030_0000,N24035,34104.44813
EU0_4120_0000,N24029,2842.888931
EU0_4120_0000,N24035,460.2009911
EU0_4121_0000,N24035,1231.844968
EU0_4122_0000,N24029,8257.482044
EU0_4122_0000,N24035,11835.03792
EU0_4123_0000,N24029,537.789995
EU0_4124_0000,N24035,407.6590037
EU0_4125_0000,N24029,1478.442993
EU0_4260_0000,N24035,16487.44911
EU0_4470_0000,N24035,15219.28019
EU0_4470_0000,N24041,3443.893075
EU0_4471_0000,N24035,6840.500146
EU0_4472_0000,N24035,2517.574898
EU0_4473_0000,N24035,8527.999135
EU0_4474_0000,N24035,4656.582069
EU0_4474_0000,N24041,5733.122131
EU0_4475_0000,N24035,591.9429997
EU0_4475_0000,N24041,11096.6347
EU0_4490_0000,N24035,1207.854985
EU0_4491_0000,N24035,3593.383062
EU0_4550_0000,N24041,3260.587021
EU0_4610_0000,N24035,5942.422882
EU0_4700_0000,N24041,15645.33702
EU0_4872_0000,N24035,10277.21591
EU0_4873_0000,N24041,10738.27913
EU1_2650_0001,N24015,6888.461977
EU1_2650_0001,N42029,27188.39436
EU1_2810_0001,N24015,30602.08067
EU1_2810_0001,N42029,5107.692815
EU1_2980_0000,N24015,15636.45234
EU1_2980_0000,N42029,7962.795858
EU1_2981_0000,N10003,198.6230081
EU1_2981_0000,N24015,4082.865851
EU1_2982_0000,N24015,2529.435048
EU1_2983_0000,N10003,1275.755971
EU1_2983_0000,N24015,4108.844115
EU1_2984_0000,N24015,9642.777845
EU2_3520_0001,N10001,19218.3084
EU2_3520_0001,N10003,6849.717771
EU2_3520_0001,N24029,23080.04939
EU2_3520_0001,N24035,12738.0236
GY0_3800_3801,N24023,38552.6441
GY0_3800_3801,N42111,2355.039055
GY0_3801_0000,N24023,20137.4259
GY0_3950_3952,N24023,31199.82225
GY0_3951_3952,N24023,33054.64302
GY0_3951_3952,N54077,9522.231001
GY0_3952_0000,N24023,31280.32994
GY0_3952_0000,N54077,2329.283959
GY0_4240_3951,N24023,40927.25338
GY0_4530_4532,N24023,26228.70274
GY0_4531_4532,N24023,25726.2891
GY0_4531_4532,N54077,32301.8519
GY0_4532_3951,N24023,19877.69882
GY0_4532_3951,N54077,494.7290038
JA0_7291_7290,N51041,34860.55373
JA0_7291_7290,N51145,6301.94395
JA1_7600_7570,N51007,29044.57719
JA1_7600_7570,N51135,71778.35013
JA1_7640_7280,N51147,99085.3063
JA2_7290_0001,N51041,73008.03813
JA2_7290_0001,N51570,1780.90406
JA2_7410_7470,N51007,72001.8092
JA2_7410_7470,N51135,17875.02551
JA2_7410_7470,N51147,466.015963
JA2_7550_7280,N51011,63716.47587
JA2_7550_7280,N51029,22761.19005
JA2_7550_7280,N51049,12394.92325
JA2_7550_7280,N51147,100765.298
JA2_7570_7480,N51007,24643.00441
JA2_7570_7480,N51135,5974.160249
JA4_7280_7340,N51007,50775.97653
JA4_7280_7340,N51049,56030.21106
JA4_7280_7340,N51135,2102.206019
JA4_7280_7340,N51145,40063.96656
JA4_7280_7340,N51147,15956.90523
JA4_7340_7470,N51007,1012.250916
JA4_7340_7470,N51041,8101.090837
JA4_7340_7470,N51145,3838.695074
JA4_7470_7480,N51007,17951.5806
JA4_7470_7480,N51041,18067.5883
JA5_7460_0000,N51041,8781.006002
JA5_7460_0000,N51149,3031.128068
JA5_7460_0000,N51670,2173.944911
JA5_7480_0001,N51007,34024.51875
JA5_7480_0001,N51041,36900.57562
JA5_7480_0001,N51053,43745.33678
JA5_7480_0001,N51135,8647.294046
JA5_7520_0000,N51041,9021.120094
JA5_7520_0000,N51053,6974.760189
JA5_7520_0000,N51149,3149.228957
JA5_7520_0000,N51570,2769.479149
JA5_7520_0000,N51730,9761.40496
JB0_7050_0000,N51036,29454.18446
JB0_7050_0000,N51095,28340.85166
JB0_7050_0000,N51127,2418.043938
JB0_7051_0001,N51095,2864.676834
JB0_7052_0001,N51095,1747.431009
JB0_7052_0001,N51127,26245.92081
JB0_7071_0000,N51041,57408.86685
JB0_7071_0000,N51087,23910.68026
JB0_7071_0000,N51760,19563.00314
JB0_7072_0000,N51095,25943.70507
JB0_7072_0000,N51181,33069.41879
JB0_7072_0000,N51199,119.5439966
JB0_7072_0000,N51830,4376.899824
JB0_7073_0000,N51036,4889.537888
JB0_7073_0000,N51041,6024.780928
JB0_7073_0000,N51087,30220.47942
JB0_7074_0000,N51036,42552.01366
JB0_7074_0000,N51041,421.3299783
JB0_7074_0000,N51149,34597.13749
JB0_7074_0000,N51670,3949.785004
JB0_7075_0000,N51670,223.530998
JB0_7076_0000,N51041,6259.71913
JB0_7270_0000,N51036,10481.49962
JB0_7270_0000,N51149,33192.04126
JB0_7270_0000,N51181,17952.28983
JB0_7271_0000,N51036,571.8770076
JB0_7271_0000,N51181,6032.857744
JB0_7381_0000,N51550,6300.143864
JB0_7381_0000,N51710,8023.602906
JB0_7381_0000,N51810,9109.336951
JB0_7382_0000,N51550,37515.04883
JB0_7382_0000,N51710,315.999002
JB0_7382_0000,N51740,4958.451871
JB0_7383_0000,N51550,12691.38867
JB0_7383_0000,N51740,8558.002028
JB0_7383_0000,N51800,2332.256974
JB0_7390_0000,N51093,60661.02616
JB0_7390_0000,N51095,4537.498892
JB0_7390_0000,N51181,8957.211044
JB0_7390_0000,N51199,7245.671917
JB0_7390_0000,N51650,1594.228055
JB0_7390_0000,N51700,33427.18424
JB0_7390_0000,N51740,1515.568012
JB0_7390_0000,N51800,7566.143227
JB0_7391_0000,N51095,1424.240008
JB0_7391_0000,N51199,128.3090012
JB0_7392_0000,N51181,694.7990011
JB0_7393_0000,N51710,6519.003902
JB0_7394_0000,N51710,239.1480106
JB0_7395_0000,N51740,628.9069865
JB0_7396_0000,N51710,8474.81797
JB0_7397_0000,N51740,3718.232862
JB0_7398_0000,N51710,2390.565007
JB0_7399_0000,N51740,1706.270013
JB0_7580_0000,N51650,7152.417993
JB0_7580_0000,N51700,2322.891113
JB0_7660_0000,N51810,32150.04704
JB0_7661_0000,N51710,7741.385012
JB0_7661_0000,N51810,8905.837632
JB0_7662_0000,N51810,1105.539001
JB0_7760_0000,N51800,47297.72857
JB1_8090_0001,N51093,4879.743284
JB1_8090_0001,N51800,35904.63279
JB2_7800_0001,N51093,29637.76378
JB2_7800_0001,N51800,11537.40819
JB3_6820_7053,N51036,11182.78028
JB3_6820_7053,N51085,45590.70219
JB3_6820_7053,N51087,72807.91986
JB3_6820_7053,N51127,24081.34573
JB3_6820_7053,N51760,4064.553046
JB3_7053_0001,N51036,10719.1556
JB3_7053_0001,N51127,19626.35739
JL1_6560_6440,H51003,5279.293021
JL1_6560_6440,N51003,55256.53178
JL1_6560_6440,N51125,357.6109968
JL1_6760_6910,N51003,71364.95383
JL1_6760_6910,N51065,2547.717031
JL1_6770_6850,H51125,17189.77126
JL1_6770_6850,N51003,4487.460152
JL1_6770_6850,N51125,37817.31874
JL1_6910_6960,N51065,14199.05789
JL1_6940_7200,H51125,10168.52399
JL1_6940_7200,N51125,49445.83456
JL1_7080_7190,H51009,13582.47145
JL1_7080_7190,N51009,7037.04878
JL1_7080_7190,N51125,9711.893708
JL1_7170_6800,N51049,11733.58527
JL1_7170_6800,N51145,39982.71951
JL1_7190_7250,N51009,9080.426951
JL1_7190_7250,N51125,5942.19208
JL1_7200_7250,N51125,8373.551956
JL1_7530_7430,N51011,37289.4074
JL1_7530_7430,N51031,121.4760016
JL2_6240_6520,H51003,771.3350264
JL2_6240_6520,H51079,15854.36781
JL2_6240_6520,L51079,24128.50238
JL2_6240_6520,N51003,48244.01365
JL2_6240_6520,N51079,19652.84581
JL2_6240_6520,N51137,4598.850925
JL2_6440_6441,H51003,28090.92318
JL2_6440_6441,N51003,48722.46921
JL2_6441_6520,N51003,33434.8871
JL2_6850_6890,N51003,24137.16474
JL2_6850_6890,N51125,74811.71069
JL2_7110_7120,N51011,176.2849929
JL2_7110_7120,N51029,144708.2674
JL2_7120_6970,N51029,12097.10179
JL2_7240_7350,H51009,7442.584587
JL2_7240_7350,N51009,85496.87641
JL2_7240_7350,N51125,353.4100047
JL2_7250_7090,N51009,2604.738019
JL2_7250_7090,N51125,11221.56671
JL2_7350_7090,N51009,1586.459047
JL2_7350_7090,N51125,3289.623044
JL3_7020_7100,N51029,98076.31873
JL3_7020_7100,N51049,80055.9046
JL3_7090_7150,N51125,42234.76833
JL4_6520_6710,N51003,96444.40226
JL4_6520_6710,N51065,51205.5639
JL4_6520_6710,N51109,8716.514147
JL4_6520_6710,N51540,6565.607173
JL4_6710_6740,N51065,43853.2076
JL4_6710_6740,N51109,349.1130043
JL6_6740_7100,N51049,3936.239048
JL6_6740_7100,N51065,35913.23034
JL6_6740_7100,N51075,41070.7612
JL6_6740_7100,N51109,1488.636998
JL6_6890_6990,N51003,39151.38787
JL6_6890_6990,N51029,21091.0314
JL6_6960_6970,N51029,1697.235044
JL6_6960_6970,N51065,17145.29079
JL6_6970_6740,N51029,13977.63293
JL6_6970_6740,N51049,6541.266133
JL6_6970_6740,N51065,16718.89443
JL6_6990_6960,N51029,10528.23395
JL6_6990_6960,N51065,3729.985979
JL6_7150_6890,N51029,28988.92599
JL6_7150_6890,N51125,16849.23474
JL6_7160_7440,H51009,6775.672329
JL6_7160_7440,N51009,85157.66224
JL6_7160_7440,N51019,39260.37134
JL6_7320_7150,N51011,14258.50093
JL6_7320_7150,N51029,19547.10204
JL6_7320_7150,N51125,10713.56039
JL6_7430_7320,N51009,6152.476428
JL6_7430_7320,N51011,22214.165
JL6_7430_7320,N51125,5072.101062
JL6_7440_7430,N51009,81546.1525
JL6_7440_7430,N51011,13649.07916
JL6_7440_7430,N51019,29119.86045
JL6_7440_7430,N51031,44296.89755
JL6_7440_7430,N51680,31773.94878
JL7_6800_7070,N51041,8234.174762
JL7_6800_7070,N51075,127392.2763
JL7_6800_7070,N51085,805.5179968
JL7_6800_7070,N51087,20421.75013
JL7_6800_7070,N51109,1378.220001
JL7_6800_7070,N51145,68472.62723
JL7_6800_7070,N51760,2111.186011
JL7_7030_6800,N51049,19665.76258
JL7_7030_6800,N51075,9661.390791
JL7_7030_6800,N51145,9241.229139
JL7_7070_0001,N51041,5824.264123
JL7_7070_0001,N51087,3541.803937
JL7_7070_0001,N51760,13727.51817
JL7_7100_7030,N51049,1480.011945
JL7_7100_7030,N51075,659.8949982
JU1_6290_6590,N51017,692.2159824
JU1_6290_6590,N51091,37833.49651
JU1_6300_6650,L51091,20946.38912
JU1_6300_6650,N51017,4783.077714
JU1_6300_6650,N51091,44710.90366
JU1_6340_6650,L51091,1573.894995
JU1_6340_6650,N51017,1469.708019
JU1_6340_6650,N51091,45533.49922
JU1_6590_6600,N51017,10944.66903
JU1_6880_7260,H51015,9585.854721
JU1_6880_7260,N51015,7472.530349
JU1_6880_7260,N51163,58752.62047
JU1_7560_7500,N51023,51787.11332
JU1_7560_7500,N51045,221.7480068
JU1_7630_7490,H51045,3365.046971
JU1_7630_7490,N51045,56124.33093
JU1_7630_7490,N51071,7547.628876
JU1_7690_7490,N51045,52326.86693
JU1_7690_7490,N51121,14324.15001
JU1_7690_7490,N51161,4925.719926
JU1_7750_7560,N51023,10126.4452
JU1_7750_7560,N51161,11714.76224
JU2_6410_6640,N51015,81729.73454
JU2_6410_6640,N51163,8478.104864
JU2_6600_6810,N51017,36236.41988
JU2_6810_6900,N51017,4581.032968
JU2_7140_7330,N51005,88378.08785
JU2_7140_7330,N54063,19118.55932
JU2_7180_7380,L51163,30325.33854
JU2_7180_7380,N51023,1661.263047
JU2_7180_7380,N51163,53630.56999
JU2_7360_7000,N51005,12979.42119
JU2_7450_7360,H51045,5174.752957
JU2_7450_7360,N51005,47697.59824
JU2_7450_7360,N51045,16871.46249
JU2_7450_7360,N51071,143.5929984
JU2_7450_7360,N54063,28449.14212
JU3_6380_6900,N51017,54605.99453
JU3_6380_6900,N51091,46531.55705
JU3_6640_6790,N51015,37957.92319
JU3_6640_6790,N51017,26318.45554
JU3_6640_6790,N51163,55988.51185
JU3_6650_7300,L51023,1813.748879
JU3_6650_7300,N51005,32512.69751
JU3_6650_7300,N51017,142403.3942
JU3_6650_7300,N51023,484.2030048
JU3_6650_7300,N51163,650.3070253
JU3_6790_7260,N51015,20487.24315
JU3_6790_7260,N51163,105020.4294
JU3_6790_7260,N51678,1614.607063
JU3_6900_6950,N51005,9518.856555
JU3_6900_6950,N51017,19713.72268
JU3_6950_7330,N51005,38000.13224
JU3_6950_7330,N51017,24247.98738
JU3_6950_7330,N51580,728.965966
JU3_7400_7510,L51023,5853.994984
JU3_7400_7510,N51005,1532.850011
JU3_7400_7510,N51023,20243.86038
JU3_7490_7400,H51045,10374.20661
JU3_7490_7400,L51023,4539.197834
JU3_7490_7400,N51005,146.5710052
JU3_7490_7400,N51023,18535.62983
JU3_7490_7400,N51045,38171.37334
JU4_7000_7300,L51023,281.2059935
JU4_7000_7300,N51005,51310.49445
JU4_7000_7300,N51017,16165.70585
JU4_7000_7300,N51580,984.3410026
JU4_7260_7380,N51163,23865.2439
JU4_7260_7380,N51530,4345.600199
JU4_7330_7000,N51005,4764.690097
JU4_7330_7000,N51580,1915.373101
JU4_7380_7160,N51163,8755.51824
JU5_7300_7510,L51023,19479.07509
JU5_7300_7510,N51005,261.3130023
JU5_7300_7510,N51023,34583.75117
JU5_7300_7510,N51163,666.7330303
JU5_7420_7160,H51023,20175.20636
JU5_7420_7160,N51023,31301.62924
JU5_7420_7160,N51163,38488.58314
JU5_7500_7420,H51023,2595.73903
JU5_7500_7420,N51023,68740.61974
JU5_7510_7500,N51023,13123.35512
PL0_4510_0001,N11001,1694.450335
PL0_4510_0001,N24031,25812.08179
PL0_4510_0001,N24033,5863.304957
PL0_4961_0000,N24033,16693.01376
PL0_5000_0001,N51059,18131.28745
PL0_5000_0001,N51510,3220.492945
PL0_5000_0001,N51610,863.8690238
PL0_5010_5130,N51059,11822.43078
PL0_5010_5130,N51600,3531.750059
PL0_5070_0001,N24033,24958.10118
PL0_5090_0000,N51059,2871.450946
PL0_5090_0000,N51510,3361.751749
PL0_5131_0000,N51059,25484.72163
PL0_5131_0000,N51600,153.5949985
PL0_5141_5140,N51061,34298.15616
PL0_5141_5140,N51153,13353.82543
PL0_5251_0000,N51059,12364.6163
PL0_5251_0000,N51153,19592.51686
PL0_5252_0000,N51059,394.7130167
PL0_5253_0000,N51059,172.714999
PL0_5290_0000,N24017,1914.280919
PL0_5290_0000,N24033,2937.767003
PL0_5390_0000,N24017,5770.5371
PL0_5390_0000,N24033,1631.042012
PL0_5391_0000,N24017,6306.051872
PL0_5392_0000,N24017,6570.820374
PL0_5440_0000,N24017,15007.45986
PL0_5450_0000,N24017,15530.50288
PL0_5490_0001,N51153,12596.30695
PL0_5491_0000,N51153,16440.93012
PL0_5492_0000,N51153,2435.750907
PL0_5493_0000,N51153,9182.816142
PL0_5493_0000,N51179,15998.96267
PL0_5494_0000,N51179,1006.929037
PL0_5495_0000,N51179,581.1660451
PL0_5496_0000,N51153,608.3909698
PL0_5510_0001,N24017,24724.59357
PL0_5510_0001,N24037,2808.950046
PL0_5530_5710,N24017,7198.396105
PL0_5540_5490,N51153,4725.050105
PL0_5580_0000,N24017,13588.41459
PL0_5581_0000,N24017,8840.794203
PL0_5582_0000,N24017,8900.019252
PL0_5583_0000,N24017,6711.659893
PL0_5584_0000,N24017,12705.49836
PL0_5585_0000,N24017,6669.414799
PL0_5670_0000,N24017,5611.698859
PL0_5670_0000,N24037,10047.31067
PL0_5671_0000,N24017,8574.484316
PL0_5671_0000,N24037,1940.150959
PL0_5672_0000,N24037,18848.39857
PL0_5710_0001,N24017,2311.661926
PL0_5720_0001,N24017,9670.352029
PL0_5730_5690,N51061,2713.000062
PL0_5730_5690,N51179,19380.99196
PL0_5750_0001,N24037,11673.65245
PL0_5790_0000,N24017,16762.23125
PL0_5791_0000,N24017,2377.525979
PL0_5830_0001,N24037,18713.72379
PL0_5850_0000,N51179,17658.80906
PL0_5851_0000,N51179,131.5059947
PL0_5860_0000,N24017,1622.456038
PL0_5900_0000,N51099,8585.480815
PL0_5900_0000,N51179,51715.46883
PL0_5901_0000,N51099,523.1259642
PL0_5902_0000,N51099,2687.235089
PL0_5903_0000,N51099,315.6700145
PL0_5904_0000,N51099,5771.597068
PL0_5920_0000,N51099,33855.30619
PL0_5921_0000,N51099,861.2639804
PL0_5922_0000,N51099,1318.395889
PL0_5923_0000,N51099,513.9470007
PL0_5930_0000,N24017,7749.738655
PL0_5950_0000,N24037,9612.184415
PL0_5951_0000,N24037,4154.380882
PL0_5952_0000,N24037,3288.343026
PL0_5960_0000,N24037,9776.555515
PL0_5961_0000,N24037,2364.018115
PL0_5962_0000,N24037,3714.653129
PL0_5980_0000,N24037,6228.143806
PL0_5981_0000,N24037,10766.52111
PL0_5982_0000,N24037,11401.54784
PL0_5983_0000,N24037,909.4710098
PL0_6020_0000,N24037,3867.510991
PL0_6060_0000,N24037,12359.02265
PL0_6100_0000,N51099,15674.89813
PL0_6100_0000,N51193,28041.37155
PL0_6101_0000,N51193,5336.386228
PL0_6110_0000,N24037,6977.667907
PL0_6130_0000,N51193,47875.04378
PL0_6131_0000,N51193,1214.82494
PL0_6140_0000,N51133,15898.44146
PL0_6140_0000,N51193,19380.15458
PL0_6141_0000,N51193,2000.128975
PL0_6270_0000,N51133,32922.76223
PL0_6271_0000,N51133,9667.191454
PL0_6272_0000,N51133,2313.024905
PL1_4460_4780,N11001,883.029991
PL1_4460_4780,N24031,39049.14315
PL1_4540_0001,N24031,13133.61596
PL1_4540_0001,N24033,34821.63186
PL1_4780_0001,N11001,5300.676934
PL1_4780_0001,N24031,201.5880011
PL1_5060_0000,N24033,14740.63576
PL1_5061_0000,N24033,3618.052098
PL1_5130_0001,N51059,16893.83823
PL1_5230_0001,N24017,19813.32934
PL1_5230_0001,N24033,15727.14623
PL1_5370_5470,N51061,59634.14498
PL1_5690_0001,N51153,497.7920184
PL1_5690_0001,N51179,13102.74295
PL1_5910_0001,N24037,15707.56813
PL2_4810_0000,N11001,9802.213139
PL2_4810_0000,N24033,11040.77654
PL2_4811_0000,N11001,237.4780078
