SL9_2720_0001, NH3X, MEAN, 0.4527E+07, 0.5682E+07, 1.25513585155732273028
YP4_6720_6750, ORGN, MEAN, 0.7257E+06, 0.8896E+06, 1.22585090257682237839
YP4_6720_6750, ORGP, MEAN, 0.5467E+05, 0.9499E+05, 1.73751600512163892445
YP4_6720_6750, PO4X, MEAN, 0.4497E+05, 0.3375E+05, .75050033355570380253
YP4_6720_6750, PIPX, MEAN, 0.8290E+05, 0.3187E+05, .38443908323281061519
YP4_6720_6750, TSED, MEAN, 0.6673E+05, 0.4306E+05, .64528697737149707777
YP4_6720_6750, NO23, MEAN, 0.5920E+06, 0.4424E+06, .74729729729729729729
YP4_6720_6750, TOTN, MEAN, 0.1390E+07, 0.1394E+07, 1.00287769784172647440
YP4_6720_6750, TOTP, MEAN, 0.1825E+06, 0.1599E+06, .87616438356164383561
YP4_6720_6750, TSSX, MEAN, 0.1343E+09, 0.6722E+08, .50052122114668652271
YM4_6620_0003, NH3X, MEAN, 0.4801E+05, 0.2632E+05, .54821912101645490522
YM4_6620_0003, ORGN, MEAN, 0.3830E+06, 0.4345E+06, 1.13446475195822454308
YM4_6620_0003, ORGP, MEAN, 0.1961E+05, 0.4412E+05, 2.24987251402345741968
YM4_6620_0003, PO4X, MEAN, 0.1391E+05, 0.1160E+05, .83393242271746944644
YM4_6620_0003, PIPX, MEAN, 0.1359E+05, 0.1148E+04, .08447387785136129506
YM4_6620_0003, TSED, MEAN, 0.9195E+04, 0.7277E+04, .79140837411636759108
YM4_6620_0003, NO23, MEAN, 0.3247E+06, 0.1497E+06, .46104096088697259008
YM4_6620_0003, TOTN, MEAN, 0.7556E+06, 0.6109E+06, .80849655902593965060
YM4_6620_0003, TOTP, MEAN, 0.4710E+05, 0.5676E+05, 1.20509554140127388535
YM4_6620_0003, TSSX, MEAN, 0.1890E+08, 0.9941E+07, .52597883597883597883
XU3_4650_0001, NH3X, MEAN, 0.1321E+06, 0.1184E+06, .89629068887206661619
XU3_4650_0001, ORGN, MEAN, 0.6963E+06, 0.4631E+06, .66508688783570300157
XU3_4650_0001, ORGP, MEAN, 0.2853E+05, 0.5093E+05, 1.78513845075359270942
XU3_4650_0001, PO4X, MEAN, 0.2257E+05, 0.2395E+05, 1.06114311032343819229
XU3_4650_0001, PIPX, MEAN, 0.7317E+05, 0.4775E+05, .65258985923192565258
XU3_4650_0001, TSED, MEAN, 0.4346E+05, 0.2625E+05, .60400368154624942475
XU3_4650_0001, NO23, MEAN, 0.9752E+06, 0.9910E+06, 1.01620180475799835931
XU3_4650_0001, TOTN, MEAN, 0.1804E+07, 0.1569E+07, .86973392461197350332
XU3_4650_0001, TOTP, MEAN, 0.1243E+06, 0.1225E+06, .98551890587288817377
XU3_4650_0001, TSSX, MEAN, 0.8715E+08, 0.5209E+08, .59770510613884107860
EM2_3980_0001, NH3X, MEAN, 0.3738E+05, 0.1995E+05, .53370786516853932584
EM2_3980_0001, ORGN, MEAN, 0.5256E+05, 0.1721E+06, 3.27435312024353120243
EM2_3980_0001, ORGP, MEAN, 0.2249E+04, 0.1773E+05, 7.88350377945753668297
EM2_3980_0001, PO4X, MEAN, 0.8232E+04, 0.9668E+04, 1.17444120505344995140
EM2_3980_0001, PIPX, MEAN, 0.2341E+05, 0.5181E+04, .22131567706108500640
EM2_3980_0001, TSED, MEAN, 0.7075E+04, 0.2608E+04, .36862190812720848056
EM2_3980_0001, NO23, MEAN, 0.5178E+06, 0.3132E+06, .60486674391656998747
EM2_3980_0001, TOTN, MEAN, 0.6077E+06, 0.5048E+06, .83067302945532335033
EM2_3980_0001, TOTP, MEAN, 0.3389E+05, 0.3256E+05, .96075538506934198878
EM2_3980_0001, TSSX, MEAN, 0.1420E+08, 0.5205E+07, .36654929577464793636
