Facility,MP Name,Source Type,Current Use Five Year Average (MGY),Enddate,Latitude,Longitude
MTN VIEW SHORES SERVICE AREA,Well #2,Well,4.55,2016,,
EJP Farm,Impoundment Pond #1,Surface Water Intake,52.80,2016,37.74719,-75.61149
KENTMERE FARM,Middle River,Surface Water Intake,79.80,2016,38.23182,-78.91788
"SAUNDERS BROTHERS, INC.",Steven's Place - Colleen,Surface Water Intake,1.99,2016,,
Oasis Sports Park,Reservoir,Surface Water Intake,0.03,2016,37.405931,-77.695097
Royal Virginian Golf Course,Irrigation Pond,Surface Water Intake,4.75,2016,37.839112,-78.05525
Lake Gaston Golf Club,Pond #1,Surface Water Intake,0.72,2016,36.554866,-77.887163
The Dominion Club,Wyndham Lake,Surface Water Intake,10.59,2016,37.697994,-77.609285
The Chesterfield Golf Course,Pond on Course,Surface Water Intake,9.07,2016,37.400574,-77.498374
VANSANT NO. 2 PREP PLANT,Jewell #3 - Dismal River Pump,Surface Water Intake,0.00,2016,,
Bush Park Mobile Home Park,#3,Well,0.37,2016,37.57119158,-76.39372377
Essex Concrete Corporation Tappahannock Facility,Well #1,Well,0.33,2016,37.9332,-76.8676
Reedville Public Water System,York #3A 166-00138,Well,3.01,2016,37.845825,-76.27623611
Reedville Public Water System,Tower #2A 166-00137,Well,2.58,2016,37.84013611,-76.27728333
Haynesville Correctional Center,#2,Well,0.08,2016,37.95535833,-76.67118889
Mallard Bay Public Water System,#2,Well,0.07,2016,37.86760833,-76.432275
Heathsville Public Water System,#3 166-00128,Well,1.90,2016,37.91968056,-76.47928056
Heathsville Public Water System,#2 166-00155,Well,1.96,2016,37.919814,-76.478956
Presidential Lakes #14 Public Water System,#3 (Well 2A) (DEQ# 148-00310),Well,0.72,2016,38.29638889,-77.24362222
Presidential Lakes #14 Public Water System,#2 (DEQ #148-00311),Well,6.78,2016,38.29658333,-77.24397222
Tartan (Kingsland & Green),#1 - To Be Abandoned,Well,2.22,2014,37.672511,-76.430535
Tartan (Kingsland & Green),"#1A, Kingsland ",Well,2.34,2016,37.672525,-76.43060278
Tartan (Kingsland & Green),"#2, Green",Well,1.09,2016,37.67491944,-76.431775
Lancaster Courthouse,#1 - Abandoned,Well,0.00,2014,37.773687,-76.471162
Belle Haven Country Club,Well 3,Well,19.84,2014,38.78069434,-77.05637447
Belle Haven Country Club,Well 1,Well,0.18,2014,38.78334722,-77.05972222
Birchwood Power Facility,Well #1 - To Be Abandoned,Well,2.14,2014,38.2664519,-77.31623453
Stratford Harbour,Well #13 (VDH #3),Well,1.51,2016,38.162,-76.806
Stratford Harbour,Well #12B (VDH #4),Well,4.92,2016,38.158,-76.807
Stratford Harbour,Well #12 (VDH #2),Well,8.29,2016,38.165,-76.785
Berkley and Ebb Tide Beach Water System,Ebb Tide Beach #10,Well,8.11,2016,38.203508,-76.955162
Berkley and Ebb Tide Beach Water System,Berkley Beach #8B,Well,0.94,2016,38.199687,-76.96429
Elsinore Public Water System,#1A,Well,1.26,2016,37.90178333,-77.34727778
Laurelwood Estates,Well #3,Well,0.00,2016,37.497633,-76.634822
Longwood Golf Course,LU Golf Well #2,Well,0.00,2016,37.2909,-78.3818333
The Regency at Dominion Valley,Well at #14,Well,8.50,2016,38.842172,-77.645067
PLEASANT VALLEY GOLF,Well,Well,26.73,2016,99,-99
Raspberry Falls Golf & Hunt Club,M3,Well,1.83,2016,39.157772,-77.562272
Emporia Country Club,Irrigation well,Well,0.24,2016,36.75265,-77.49735
Raspberry Falls Golf & Hunt Club,M2,Well,1.82,2016,39.155047,-77.559797
"PACKSADDLE RIDGE GOLF CLUB, LLC",Well #10,Well,0.20,2016,38.4564355,-78.7589558
Raspberry Falls Golf & Hunt Club,M1,Well,1.17,2016,39.154289,-77.55685
"PACKSADDLE RIDGE GOLF CLUB, LLC",Well #9,Well,0.00,2016,38.4564355,-78.7589558
"PACKSADDLE RIDGE GOLF CLUB, LLC",Well #7,Well,0.00,2016,38.4564355,-78.7589558
Heritage Hunt Golf Club,#3 Fairway,Well,0.64,2016,38.81428191,-77.60177448
"PACKSADDLE RIDGE GOLF CLUB, LLC",Well #4,Well,0.89,2016,99,-99
Heritage Hunt Golf Club,#10 on Fieldstone Way,Well,5.59,2016,38.8221128,-77.58970646
Gordon Trent Golf Course,Pond #10,Surface Water Intake,0.00,2016,,
Monte Vista Golf Course,Spring,Surface Water Intake,0.29,2016,99,-99
The Manor Golf Club,Irrigation Pond,Surface Water Intake,16.21,2016,37.24864,-78.40227
Front Royal Golf Club,Crooked Run,Surface Water Intake,6.47,2016,38.9568463,-78.1849884
CEDAR HILL COUNTRY CLUB,Powell River,Surface Water Intake,0.00,2016,36.64083,-83.18875
Farmville Municipal Golf Course,Irrigation Pond,Surface Water Intake,7.23,2016,37.350168,-78.4369
1757 GOLF CLUB,Pond 17,Surface Water Intake,3.63,2016,39.00875,-77.446712
Raspberry Falls Golf & Hunt Club,Lake,Surface Water Intake,18.71,2016,39.164592,-77.553092
THE OSPREYS AT BELMONT BAY,River Pump (Occoquan),Surface Water Intake,18.01,2014,38.652493,-77.230237
The Federal Club,South Anna River,Surface Water Intake,7.93,2016,37.7669,-77.6054
Signature at West Neck,Signature at West Neck,Surface Water Intake,0.00,2016,36.732471,-76.066705
Eaglewood Golf Course,Pond A,Surface Water Intake,2.92,2016,37.090769,-76.369846
Greenbrier Farms Nursery,WILLIS FARM POND,Well,3.35,2016,36.63722222,-76.22277778
Greenbrier Farms Nursery,SQUIRES FARM POND,Surface Water Intake,3.37,2016,36.63722222,-76.22277778
Sussex Courthouse,Well 1,Well,0.66,2015,,
Birch Island Apartments,WELL #3 NEAR PUMP HOUSE,Well,1.16,2015,,
Birch Island Apartments,WELL #2 FAR FROM PUMP HOUSE,Well,1.16,2015,,
Appleland Sport Center,Well,Well,1.21,2016,,
Essex Concrete Tappahannock Facility,Well #1,Well,0.00,2016,37.9327777,-76.86694444
QUINTON OAKS GOLF COURSE,Clubhouse Well,Well,0.00,2016,37.940498,-76.573837
QUINTON OAKS GOLF COURSE,Well #1,Well,0.00,2016,37.939649,-76.577435
"WATERS EDGE COUNTRY CLUB, THE ",Smith Mountain Lake,Surface Water Intake,39.99,2016,37.023642,-79.618911
SALISBURY COUNTRY CLUB,Buckingham Lake (#8),Surface Water Intake,11.99,2016,37.52555149,-77.65579269
SALISBURY COUNTRY CLUB,Monacan Lake (#1),Surface Water Intake,2.05,2016,37.53028048,-77.65123844
SALISBURY COUNTRY CLUB,Lake Salisbury Transfer,Surface Water Intake,8.65,2016,37.521176,-77.649765
Massanutten Resort Surface Water Withdrawal Project,Woodstone Lake intake,Surface Water Intake,16.62,2016,38.4066,-78.70915
Blue Ridge Shadows Golf Club,Crooked Run,Surface Water Intake,15.37,2016,38.983056,-78.185556
Hat Creek Golf Course,Pond,Surface Water Intake,0.79,2016,99,-99
Aquia Harbour Golf Course,Aquia Creek,Surface Water Intake,9.79,2016,38.47226,-77.37762
Highway Farm,Well #1,Well,3.49,2016,37.38566699,-75.92340351
Kanawha Club,Kanawha Pond,Surface Water Intake,3.78,2016,37.612806,-77.741
Raymond A. Henshaw,Big Pond,Surface Water Intake,0.12,2016,37.174521,-77.658619
WINDY HILL SPORTS COMPLEX,Holding Pond,Surface Water Intake,3.54,2016,37.512144,-77.719031
Montclair Country Club,Lake Montclair,Surface Water Intake,8.67,2016,38.6036475,-77.3365718
Henry Fitzgerald Farm,Tye River - 2614 Old Rose Mill Rd,Surface Water Intake,13.73,2016,99,-99
Henry Fitzgerald Farm,Tye River-Saunders Ln,Surface Water Intake,20.27,2016,99,-99
Sly Fox Golf Club,Lake #13,Surface Water Intake,1.72,2016,38.984127,-78.221822
Emporia Country Club,Pond,Surface Water Intake,7.19,2016,36.75265,77.49735
Folly Farms Subdivision,well #2,Well,0.00,2016,37.883342,-76.727283
YAROS FARMS INC,YAROS FARM - Underhill Farm,Well,5.33,2016,,
ROUND HILL SERVICE AREA,Well 21SA - Duplicate well entry,Well,14.68,2015,39.133452,-77.763974
NOMINI BAY FARMS PUBLIC WATER SUPPLY,well #1A,Well,0.00,2016,38.126633,-76.731075
Westmoreland Industrial Park Water System,Montross Middle School (well #3),Well,0.00,2016,38.0954171,-76.8290284
Westmoreland Industrial Park Water System,A.T. Johnson (well #2),Well,0.00,2016,38.077828,-76.781175
Stratford Hall Plantation,well #1,Well,0.00,2016,38.15092,-76.836122
Rivers Bend Estates,Well #1,Well,0.00,2016,37.875361,-76.396602
Rappahannock Westminster - Canterbury,well #3,Well,0.00,2016,37.675,-76.401389
Rappahannock Westminster - Canterbury,Well #1,Well,0.00,2016,37.676389,-76.402778
Pineview Mobile Home Park,Pineview Section III Well #1,Well,0.00,2016,38.260639,-77.161389
Pineview Mobile Home Park,Pineview MHP Well #2,Well,0.00,2016,38.26445,-77.160389
Northumberland Shores,Northumberland Shores (Well #1),Well,0.00,2016,38.0208,-76.506
HIGH SCHOOL AND ELEMENTARY SCHOOL WELL SYSTEM,Northumberland Elementary School (Well),Well,0.00,2016,37.9869,-76.5703
LOCKSLEY HALL ESTATES,BGM #2,Well,0.00,2016,37.8741,-76.2877
Laurel Point Subdivision,Well #2,Well,0.00,2016,37.734122,-76.4237
CHARLOTTE CT HSE SERVICE AREA,well # 7,Well,4.15,2016,,
CHARLOTTE CT HSE SERVICE AREA,well # 7,Well,3.70,2016,,
Rees Vineyard,test 44,Well,0.67,2016,36.5,-79
Highway Farm,Well #4,Well,0.00,2016,37.385556,-75.924722
HEATHSVILLE SERVICE AREA,Well #3,Well,3.69,2015,,
NEW BALTIMORE REGIONAL,Rogues Road Well H-1,Well,23.15,2016,38.725742,-77.663881
CANTERBURY SUBDIVISION,Well #2,Well,0.00,2016,38.2397,-77.1269
SALUDA SERVICE AREA,Well #3,Well,6.49,2015,,
Arbon & Carosi,well #3,Well,0.00,2016,38.6534,-77.2492
Jones Farm 2,Impoundment Pond,Well,11.59,2016,37.454722,-75.900556
ARLINGTON GOLF COURSE,Well # 2 North Well,Well,4.44,2016,,
FRANKLIN ACRES SERVICE AREA,Well 3,Well,1.25,2016,,
Waterloo Estates,Well #10,Well,0.82,2016,38.718065,-77.836591
Bush Park Mobile Home Park,Well Number 3,Well,0.00,2016,,
Blue Ridge Country Club,18 Pond,Well,5.58,2016,,
Laurel Point Subdivision,Well #1,Well,0.00,2016,37.730925,-76.428114
HEATHERSTONE,Well 2,Well,1.97,2016,,
Hobbs Hole Golf Course,Well #1,Well,5.14,2016,37.8981367,-76.855617
Evergreen Country Club,Well #7,Well,7.96,2016,38.877657,-77.660296
Fort A. P. Hill Water System,800 Meter Well,Well,0.39,2016,,
Heritage Hall #10 Nursing Home,Well #1,Well,2.29,2016,,
CANTERBURY SUBDIVISION,Well #1,Well,0.00,2016,38.2427,-77.1244
Dominion Valley Country Club,Well B1,Well,10.07,2016,,
Boy Scouts at Bayport Campground,Scouts at Bayport - Campground Well,Well,0.00,2016,37.751033,-76.684417
HEATHERSTONE,Well 1,Well,1.68,2016,37.367214,-79.828611
BOTETOURT FOREST,Well 1,Well,1.65,2016,37.5774613,-79.7848422
ST. TAMMANYS LANDING,Well 1,Well,0.23,2016,36.560692,-78.087294
Brandermill Country Club,Swift Creek Reservoir,Surface Water Intake,6.09,2016,37.431747,-77.655172
DREWER FARM (DEL MONTE),IMPOUNDMENT POND #1,Surface Water Intake,39.27,2016,37.563294,-75.844427
Pigeon Creek Prep Plant,Pond Pump,Surface Water Intake,24.71,2016,36.970556,-82.780167
OLE MONTEREY GOLF CLUB,Tinker Creek,Surface Water Intake,70.00,2016,37.325,-79.926
Cypress Creek Golfers Club,Pond,Surface Water Intake,10.54,2016,,
Plane River Farm,Middle River- North,Surface Water Intake,8.00,2016,38.27866667,-78.8635
Birkdale Golf Club,Holding Pond,Surface Water Intake,18.14,2016,37.386269,-77.666167
Trump National Golf Club Washington DC,River Course Irrigation Pond,Surface Water Intake,20.49,2016,39.052506,-77.347596
River Ridge Golf and Camping Club,Lake Gaston,Surface Water Intake,0.61,2016,,
Captains Cove Golf and Yacht Club,Primary Irrigation Pond #1,Surface Water Intake,14.45,2016,,
Evergreen Country Club,Pond #7,Surface Water Intake,10.39,2016,,
BULL RUN GOLF CLUB,Ponds (3),Surface Water Intake,10.36,2016,38.880744,-77.642097
Birchwood Power Facility,Well #2,Well,0.00,2016,38.26698859,-77.31701892
Birchwood Power Facility,Well #1A,Well,2.08,2016,38.26640556,-77.31635278
Kinsale,#1A,Well,0.82,2016,38.02848056,-76.58523889
Kinsale,#1,Well,0.61,2016,38.02851111,-76.58535278
Burgess Public Water Supply,#2A,Well,1.24,2016,37.8904375,-76.348833
Burgess Public Water Supply,#2,Well,0.95,2016,37.890333,-76.348433
Lottsburg Public Water System,#3,Well,1.31,2016,37.96631873,-76.52271082
Lottsburg Public Water System,#2,Well,1.30,2016,37.951828,-76.519723
Chesapeake Bay Estates,#1A,Well,0.39,2016,37.839,-76.253217
Weems Public Water System,"#3A, South",Well,0.87,2016,37.656295,-76.44868833
Weems Public Water System,"#2, North",Well,6.71,2016,37.664044,-76.4400892
Town of Saluda,#2,Well,13.79,2016,37.608541,-76.602853
Hunting Hawk Golf Club,Lake Hunting Hawk,Surface Water Intake,44.00,2016,37.707436,-77.6198
Auburn Hills Golf Club,Pond,Surface Water Intake,0.51,2016,99,-99
MAGNOLIA GREEN GOLF CLUB,Blackman Creek,Surface Water Intake,4.62,2014,99,-99
Gloucester County Public Utilities,Reverse Osmosis Well #2,Well,0.09,2016,,
Kilmer's Point,Well #1,Well,2.97,2014,37.657303,-76.57676
Potomac and Westmoreland Shores,Potomac Shore 5 (#2) - Temp Abndmt,Well,9.26,2014,,
Potomac and Westmoreland Shores,Westmoreland Shore 2 (#2) - Temp Abndmt,Well,7.85,2014,38.224945,-76.978382
Potomac and Westmoreland Shores,Potomac Shore 4 (#1) - Temp Abndmt,Well,0.78,2014,38.221971,-76.969389
Potomac and Westmoreland Shores,Potomac Shores #5 (#2A),Well,3.48,2016,38.216653,-76.972354
Potomac and Westmoreland Shores,Potomac Shores #4 (#1A),Well,0.19,2016,38.221971,-76.969389
Potomac and Westmoreland Shores,Westmoreland Shore #3B - Udr Const.,Well,0.00,2016,38.228033,-76.973936
Cabin Point & Glebe Harbor,Glebe Harbor #1 (Station #18),Well,0.18,2016,38.12662,-76.664172
Cabin Point & Glebe Harbor,Cabin Point #1 (Station #16),Well,3.98,2016,38.149553,-76.67226
Bleak Hall,Well #7,Well,1.76,2016,38.205918,-76.975356
Bleak Hall,Well #6,Well,0.03,2016,38.20893056,-76.97856389
Bay Quarter Shores,Well #2 (#19),Well,3.11,2016,37.95447,-76.431454
Piedmont Golf Club,Irrigation Pond,Surface Water Intake,11.45,2016,,
Bristow Manor Golf Club,Irrigation Pond ,Surface Water Intake,17.08,2016,99,-99
Woodruff Public Water System,#1-A,Well,1.12,2016,37.82228611,-77.14381944
TIMBUCTU SUBDIVISION,Well 2,Well,0.02,2016,99,-99
Rees Vineyard,New Pond - Southwest corner of property,Surface Water Intake,0.50,2016,36.5,-78
EAGLE TREE,PeeDee Creek #6 FLATS new,Surface Water Intake,37.84,2016,38.115,-76.965
SPRING HOLLOW WTP,Boxwood Green Well # 3,Well,0.78,2016,37.049218,-79.706043
JOYCEVILLE SUBDIVISION/HOLLY GROVE ESTATES,Well 2,Well,0.33,2014,99,-99
GREAT CREEK LANDING/TUDOR ESTATES,Well 2,Well,0.00,2016,99,-99
Rees Vineyard,Well #2,Well,0.28,2016,37.751263,-78.656445
FOXRUN/CHAMPION FOREST SHORES,Well 4,Well,0.22,2014,99,-99
FOXRUN/CHAMPION FOREST SHORES,Well 2,Well,0.17,2014,99,-99
CLIFFS ON THE ROANOKE,Well 2,Well,0.00,2014,99,-99
ANCHOR COVE/ANCHORAGE ,Well 1,Well,0.01,2016,99,-99
STONY SPRINGS SUBDIVISION,Well 4,Well,0.11,2014,99,-99
Rees Vineyard,Test for MA,Well,0.00,2016,36.5,-79
CHESDIN MANOR SUBDIVISION,Well 2,Well,0.21,2016,99,-99
GRETNA WTP,Whitethorn Creek,Surface Water Intake,9.55,2016,36.914893,-79.373484
SIOUAN SHORES SUBDIVISION,Well 2,Well,0.18,2014,99,-99
DIFFICULT HILL FARM,Pamunkey River #3,Surface Water Intake,4.50,2016,,
FLOYD SERVICE AREA,WELL #6,Well,12.84,2016,36.924011,-80.308023
Cypress Banks,NB,Surface Water Intake,5.54,2016,,
KILMARNOCK SERVICE AREA,HOSPITAL WELL #3 (MP:pmp562) (duplicate so subyeared),Well,9.72,2013,,
PURCELLVILLE SERVICE AREA,Marsh Farm,Well,24.55,2016,39.16845173,-77.73377538
"KESWICK ESTATES UTILITIES, LLC",WELL #2,Well,21.37,2016,,
STONY SPRINGS SUBDIVISION,Well 3,Well,0.94,2016,99,-99
BUCKHEAD SUBDIVISION,Well 2,Well,0.86,2016,99,-99
SUNNYBROOK SUBDIVISION,Well 2,Well,0.55,2016,99,-99
MT. JACKSON PLANT,WELL #5,Well,251.18,2016,,
JOYCEVILLE SUBDIVISION/HOLLY GROVE ESTATES,Well 2,Well,6.05,2016,99,-99
GREAT CREEK LANDING/TUDOR ESTATES,Well 3,Well,0.09,2016,99,-99
LOWER BROAD RUN SERVICE AREA,Selma 9F,Well,5.27,2016,39.18059,-77.54204
Brunswick Estates,Well 2,Well,0.82,2016,99,-99
CHESDIN MANOR SUBDIVISION,Well 2,Well,0.30,2016,99,-99
MARSHALL SERVICE AREA,17/66 Well #1,Well,14.30,2016,38.861027,-77.838368
STONY SPRINGS SUBDIVISION,Well 4,Well,0.62,2016,99,-99
THE RIVER COURSE,new river,Surface Water Intake,2.25,2016,37.15416667,-80.53055556
Shimokin Farm  R. Randolph & Sons,Pamunkey R RT-85Ac,Surface Water Intake,6.38,2016,37.6,-77.1
INTERSTATE DEVELOPMENT EXIT,REEDSIDE WELL,Well,0.57,2016,,
"SAUNDERS BROTHERS, INC.",Cub Creek Well #4,Well,0.36,2016,37.83411334,-78.99295406
Highway Farm,Well #3,Well,0.00,2016,,
Onyx Hill Fruit and Plants,Beaver Creek,Surface Water Intake,0.37,2014,38.449,-78.985
LADYSMITH/Alliance Well,Star Well,Well,10.92,2016,38,-77
LADYSMITH/Alliance Well,Star Well,Well,1.55,2016,38,-77
Farms,Rohr Farm Pond - Rt. 750,Surface Water Intake,2.61,2012,99,-99
BEALETON REGIONAL WATER SYSTEM,MINTBROOKE WELL #2 (B-1),Well,53.90,2016,38.588739,-77.774701
College of William and Mary,ISC Well,Well,0.29,2016,,
PURCELLVILLE SERVICE AREA,Mountain View,Well,0.00,2016,39.15729073,-77.72468671
MARSHALL SERVICE AREA,17/66 Well #2,Well,17.31,2016,38.862365,-77.840179
SOUTH WALES SERVICE AREA,Well #18,Well,4.30,2016,,
SOUTH WALES SERVICE AREA,Well #16,Well,5.65,2016,,
Cheapside Farm Incorporated,Nottingham Pond,Surface Water Intake,0.00,2014,37.1884774,-75.9965728
Fort A. P. Hill Water System,CATF,Well,0.02,2016,,
MERRIMAC-MIDWAY SERVICE AREA,Well #2,Well,4.01,2016,37.0575,-80.44222222
MERRIMAC-MIDWAY SERVICE AREA,Well #1,Well,3.82,2016,37.07055556,-80.44194444
VALLEY MILK PRODUCTS,New well #3,Well,20.84,2016,38.9865,-78.356
Fauquier Springs Country Club,#4 Pond,Surface Water Intake,0.00,2014,38.6578525,-77.87010168
Tazewell County Country Club,#3 Pond,Surface Water Intake,11.12,2016,37.105808,-81.626692
Stoneleigh Golf and Country Club,Stream,Surface Water Intake,14.33,2016,39.12,-77.788333
"Lake Packing Company, Inc.- Processing",Well #11 Behind Whse,Well,0.73,2016,,
Wood Preservers inc.,VRP - Scale Area Well #7,Well,0.00,2016,37.970678,-76.763075
Wood Preservers inc.,Plant Well #5,Well,0.00,2016,37.976039,-76.745822
Wood Preservers inc.,Bark Well #4,Well,0.00,2016,37.973742,-76.751544
Waterview Mobile Home Park,Well #4,Well,0.00,2016,37.322006,-76.474819
The Coves at Wilton Creek,Well No. 3A,Well,0.00,2016,37.52648,-76.4228
The Coves at Wilton Creek,Well No. 2,Well,0.00,2016,37.526391,-76.42183
The Coves at Wilton Creek,Well No. 1A,Well,0.00,2016,37.52685,-76.4216
Waterview Mobile Home Park,Well No. 1,Well,0.00,2016,37.322286,-76.473864
Grey's Point Campground,well #3,Well,0.00,2016,37.622192,-76.436347
Grey's Point Campground,well #1,Well,0.00,2016,37.608222,-76.442472
DREWER FARM (DEL MONTE),WELL #1,Well,0.07,2016,37.571611,-75.847968
LOWER BROAD RUN SERVICE AREA,Raspberry Well F,Well,7.44,2016,39.158889,-77.563056
Rees Vineyard,test8,Surface Water Intake,0.00,2012,37.9,-78.9
STRASBURG PLANT,Office Well #7,Well,0.01,2016,39.01928292,-78.32988711
KING GEORGE COUNTY WELL SYSTEM,HOPYARD  WELL A,Well,8.32,2016,,
SOUTH WALES SERVICE AREA,Well #12,Well,6.56,2016,,
KING GEORGE COUNTY WELL SYSTEM,HOPYARD  WELL F,Well,5.36,2016,,
RED MILL FARM,south river wagner farm,Surface Water Intake,22.80,2016,,
KING GEORGE COUNTY WELL SYSTEM,HOPYARD WELL D,Well,2.99,2016,,
PRIMLAND RESORT,Well X,Well,1.82,2016,36.64388,-80.39754
PRIMLAND RESORT,Well U,Well,0.46,2016,36.62582,-80.41673
Suffolk Main System (G.ROBERT HOUSE WTP),Reids Ferry Well,Well,229.74,2015,,
Cypress Banks,Weyanoke,Surface Water Intake,13.60,2016,,
Farms,RT 57 GEORGE POND,Surface Water Intake,0.00,2016,,
LAWRENCEVILLE SERVICE AREA,Meherrin River,Surface Water Intake,0.00,2016,36.435379,-77.515619
BASS FARMS,Pond at River,Surface Water Intake,1.95,2016,,
ISLE OF PINES SERVICE AREA abandon tied into SML Cental,Well#3,Well,0.00,2016,,
LAWRENCEVILLE SERVICE AREA,Meherrin River,Surface Water Intake,0.00,2016,36.435379,-77.515619
LOWER BROAD RUN SERVICE AREA,Selma 7E2,Well,4.33,2016,39.18404,-77.54856
JOHN N MILLS & SONS - 3 FARMS,pamunkey river HQ 8,Surface Water Intake,11.85,2016,37.7789237,-77.32838631
VICTORIA WTP,Modest Creek Reservoir,Surface Water Intake,20.51,2016,,
LOUISA-MINERAL SERVICE AREA,Spring Creek #3,Well,21.62,2016,,
Cypress Banks,SF,Surface Water Intake,12.85,2016,,
LOWER BROAD RUN SERVICE AREA,Selma 1B,Well,4.10,2016,39.17578,-77.55867
COUNTRY CLUB OF VIRGINIA,James River Pump House,Surface Water Intake,19.49,2016,,
RED HILL QUARRY,Quarry,Well,0.00,2016,,
DULLES READY MIX  PLANT,Sterling R/M well #3,Well,12.09,2016,,
MARSHALL SERVICE AREA,LAWRENCE WELL,Well,0.67,2016,38.86,-77.86
"DAL-NITA HILLS, KESWICK FARMS & TINKERVIEW GRDNS",Dal-Nita Hills,Well,2.04,2016,37.441808,-79.941483
BUCKLAND WATER & SANITATION ASSETS CORPORATION,VINT HILL WELL #1A,Well,18.31,2016,38.75,-77.68
GRAINFIELD FARM,HF1,Surface Water Intake,1.03,2015,,
PROCESSING PLANT,Sussex County Hydrant,Well,0.00,2016,,
