BMP,Shortname,Landuse_Type,HGMR,TN,TP,BOD,SED
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,BR_N,0.31,0.07,0.19,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,ML_N,0.31,0.07,0.19,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,VRSN,0.31,0.07,0.19,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,APSN,0.31,0,0.155,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,BR_N,0.31,0,0.155,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,ML_N,0.31,0,0.155,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,VRSN,0.31,0,0.155,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPDN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPDT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPLN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPLT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPUN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPUT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,PCAN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,PCRN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,APCN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,VRCN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPDN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPDT,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPLN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPLT,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPUN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPUT,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,PCAN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,PCRN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,APCN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,VRCN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,APSN,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,BR_N,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,ML_N,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,VRSN,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,APSN,0.22,0,0.11,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,BR_N,0.22,0,0.11,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,ML_N,0.22,0,0.11,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,VRSN,0.22,0,0.11,0
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPDN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPDT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPLN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPLT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPUN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPUT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,PCAN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,PCRN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,APCN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,VRCN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPDN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPDT,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPLN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPLT,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPUN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPUT,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,PCAN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,PCRN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,APCN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,VRCN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,APSN,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,BR_N,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,ML_N,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,VRSN,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,APSN,0.19,0,0.095,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,BR_N,0.19,0,0.095,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,ML_N,0.19,0,0.095,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,VRSN,0.19,0,0.095,0
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPDN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPDT,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPLN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPLT,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPUN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPUT,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,PCAN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,PCRN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,APCN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,VRCN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPDN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPDT,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPLN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPLT,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPUN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPUT,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,PCAN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,PCRN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,APCN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,VRCN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,APSN,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,BR_N,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,ML_N,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,VRSN,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,APSN,0.27,0,0.135,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,BR_N,0.27,0,0.135,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,ML_N,0.27,0,0.135,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,VRSN,0.27,0,0.135,0
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPDN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPDT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPLN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPLT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPUN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPUT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,PCAN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,PCRN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,APCN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,VRCN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPDN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPDT,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPLN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPLT,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPUN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPUT,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,PCAN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,PCRN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,APCN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,VRCN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,APSN,0.19,0.07,0.13,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,BR_N,0.19,0.07,0.13,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,ML_N,0.19,0.07,0.13,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,VRSN,0.19,0.07,0.13,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,APSN,0.19,0,0.095,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,BR_N,0.19,0,0.095,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,ML_N,0.19,0,0.095,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,VRSN,0.19,0,0.095,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,CPDN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,CPDT,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,CPLN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,CPLT,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,CPUN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,CPUT,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,PCAN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,PCRN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,APCN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,VRCN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,CPDN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,CPDT,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,CPLN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,CPLT,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,CPUN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,CPUT,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,PCAN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,PCRN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,APCN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,VRCN,0.11,0,0.055,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,APSN,0.09,0,0.045,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,BR_N,0.09,0,0.045,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,ML_N,0.09,0,0.045,0
Cover Crop Late Other Wheat,CoverCropLOW,Hi_Till,VRSN,0.09,0,0.045,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,APSN,0.09,0,0.045,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,BR_N,0.09,0,0.045,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,ML_N,0.09,0,0.045,0
Cover Crop Late Other Wheat,CoverCropLOW,Low_Till,VRSN,0.09,0,0.045,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPDN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPDT,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPLN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPLT,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPUN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPUT,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,PCAN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,PCRN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,APCN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,VRCN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPDN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPDT,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPLN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPLT,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPUN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPUT,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,PCAN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,PCRN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,APCN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,VRCN,0.15,0,0.075,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,APSN,0.111111111,0,0.055555556,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,BR_N,0.111111111,0,0.055555556,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,ML_N,0.111111111,0,0.055555556,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,VRSN,0.111111111,0,0.055555556,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,APSN,0.111111111,0,0.055555556,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,BR_N,0.111111111,0,0.055555556,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,ML_N,0.111111111,0,0.055555556,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,VRSN,0.111111111,0,0.055555556,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPDN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPDT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPLN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPLT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPUN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPUT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,PCAN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,PCRN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,APCN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,VRCN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPDN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPDT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPLN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPLT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPUN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPUT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,PCAN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,PCRN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,APCN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,VRCN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,APSN,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,BR_N,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,ML_N,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,VRSN,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,APSN,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,BR_N,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,ML_N,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,VRSN,0.09,0,0.045,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,CPDN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,CPDT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,CPLN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,CPLT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,CPUN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,CPUT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,PCAN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,PCRN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,APCN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,VRCN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,CPDN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,CPDT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,CPLN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,CPLT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,CPUN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,CPUT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,PCAN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,PCRN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,APCN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,VRCN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,APSN,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,BR_N,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,ML_N,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Hi_Till,VRSN,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,APSN,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,BR_N,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,ML_N,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,Low_Till,VRSN,0.13,0,0.065,0
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,CPDN,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,CPDT,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,CPLN,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,CPLT,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,CPUN,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,CPUT,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,PCAN,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,PCRN,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,APCN,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,VRCN,0.38,0.15,0.265,0.2
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,CPDN,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,CPDT,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,CPLN,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,CPLT,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,CPUN,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,CPUT,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,PCAN,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,PCRN,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,APCN,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,VRCN,0.38,0,0.19,0
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,APSN,0.29,0.15,0.22,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,BR_N,0.29,0.15,0.22,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,ML_N,0.29,0.15,0.22,0.2
Cover Crop Early Other Rye,CoverCropEOR,Hi_Till,VRSN,0.29,0.15,0.22,0.2
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,APSN,0.29,0,0.145,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,BR_N,0.29,0,0.145,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,ML_N,0.29,0,0.145,0
Cover Crop Early Other Rye,CoverCropEOR,Low_Till,VRSN,0.29,0,0.145,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,CPDN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,CPDT,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,CPLN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,CPLT,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,CPUN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,CPUT,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,PCAN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,PCRN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,APCN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Hi_Till,VRCN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Low_Till,CPDN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Low_Till,CPDT,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Low_Till,CPLN,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Low_Till,CPLT,0.21,0,0.105,0
Commodity Cover Crop Early Other Rye,ComCovCropEOR,Low_Till,CPUN,0.21,0,0.105,0
