seg,combined_factor_N,combined_factor_P
SL9_2970_0000,0.459,1.16
SL9_2971_0000,0.98,0.8198
SU1_0050_0090,0.7774,0.8546
SU1_0060_0190,0.7774,0.698
SU1_0080_0210,0.7774,0.698
SU1_0200_0270,0.7774,0.8546
SU1_0330_0560,0.7774,0.8546
SU1_0380_0400,0.7774,0.698
SU1_0390_0560,0.7774,0.8546
SU1_0410_0480,0.7774,0.698
SU1_0660_0710,1.1065,0.6588
SU1_0820_0740,0.5318,0.8151
SU1_0840_0831,0.5318,0.7519
SU1_0940_0900,1.1065,0.369
SU1_1480_1500,1.1065,0.9114
SU1_1630_1610,1.1065,0.9114
SU2_0020_0140,0.7774,0.698
SU2_0030_0140,0.7774,0.698
SU2_0040_0180,0.7774,0.698
SU2_0070_0090,0.7774,0.8546
SU2_0100_0230,0.7774,0.698
SU2_0110_0240,0.7774,0.8546
SU2_0120_0260,0.7774,0.8546
SU2_0130_0250,0.7774,0.698
SU2_0150_0220,0.7774,0.698
SU2_0160_0260,0.7774,0.8546
SU2_0210_0300,0.7774,0.698
SU2_0280_0430,0.7774,0.8546
SU2_0290_0291,0.7774,0.698
SU2_0291_0320,0.7774,0.698
SU2_0320_0340,0.7774,0.698
SU2_0360_0460,0.7774,0.698
SU2_0440_0550,0.7774,0.8546
SU2_0450_0720,0.7774,0.8546
SU2_0470_0590,0.7774,0.8546
SU2_0510_0570,0.5318,1.0996
SU2_0560_0590,0.7774,0.8546
SU2_0570_0580,0.5318,1.0996
SU2_0620_0580,0.5318,1.0996
SU2_0640_0630,0.5318,1.0996
SU2_0670_0810,1.1065,1.1672
SU2_0680_0610,0.5318,1.0996
SU2_0700_0860,1.1065,0.9959
SU2_0740_0741,0.5318,0.8151
SU2_0741_0690,0.5318,0.8151
SU2_0760_0960,1.1065,0.9959
SU2_0780_0710,1.1065,0.6588
SU2_0800_0850,0.7774,0.8546
SU2_0830_0831,0.5318,0.7519
SU2_0890_0900,1.1065,0.369
SU2_0900_0870,1.1065,0.369
SU2_0920_0830,0.5318,0.7519
SU2_0990_0950,1.1065,0.9959
SU2_1020_0980,1.1065,0.9959
SU2_1200_1310,1.1065,0.9114
SU2_1210_1310,1.1065,0.9114
SU2_1290_1500,1.1065,0.9114
SU2_1550_1620,1.1065,0.9114
SU3_0010_0190,0.7774,0.698
SU3_0090_0170,0.7774,0.8546
SU3_0140_0180,0.7774,0.698
SU3_0170_0270,0.7774,0.8546
SU3_0180_0230,0.7774,0.698
SU3_0190_0300,0.7774,0.698
SU3_0240_0350,0.7774,0.8546
SU3_0370_0490,0.5318,1.0996
SU3_0490_0530,0.5318,1.0996
SU3_0590_0540,0.7774,0.8546
SU3_0710_0910,1.1065,0.6588
SU3_0770_0690,0.5318,1.0996
SU3_0790_0770,0.5318,0.7376
SU3_0810_0970,1.1065,0.6267
SU3_0831_0790,0.5318,0.7519
SU3_0870_0730,1.1065,0.9959
SU3_0910_1010,1.1065,0.9959
SU3_0970_1120,1.1065,1.2177
SU3_1280_1590,1.1065,0.9114
SU3_1310_1280,1.1065,0.9114
SU3_1500_1420,1.1065,0.9114
SU4_0220_0250,0.7774,0.698
SU4_0230_0220,0.7774,0.698
SU4_0250_0340,0.7774,0.698
SU4_0260_0350,0.7774,0.8546
SU4_0270_0430,0.7774,0.8546
SU4_0300_0310,0.7774,0.698
SU4_0350_0420,0.7774,0.8546
SU4_0430_0420,0.7774,0.8546
SU4_0580_0630,0.5318,1.0996
SU4_0630_0650,0.5318,1.0996
SU4_0690_0650,0.5318,1.0996
SU5_0310_0400,0.7774,0.698
SU5_0340_0310,0.7774,0.698
SU5_0400_0460,0.7774,0.698
SU5_0420_0500,0.7774,0.8546
SU5_0460_0480,0.7774,0.698
SU5_0530_0610,0.5318,1.0996
SU5_0600_0750,0.7774,0.8546
SU5_0610_0600,0.5318,1.0996
SU5_0650_0530,0.5318,1.0996
SU7_0750_0850,0.7774,0.8546
SU6_0480_0520,0.7774,0.698
SU6_0500_0550,0.7774,0.8546
SU6_0520_0500,0.7774,0.8546
SU7_0540_0720,0.7774,0.8546
SU7_0550_0540,0.7774,0.8546
SU7_0720_0750,0.7774,0.8546
SU7_0730_0860,1.1065,0.9959
SU7_0850_0730,0.7774,0.8546
SU7_0860_0960,1.1065,0.9959
SU7_0950_1010,1.1065,0.9959
SU7_0960_0950,1.1065,0.9959
SU7_0980_1120,1.1065,0.9959
SU7_1010_0980,1.1065,0.9959
SU7_1120_1140,1.1065,0.9959
SU7_1140_1420,1.1065,0.9114
SU7_1420_1590,1.1065,0.9114
SU8_1530_1760,1.3182,0.7296
SU8_1590_1620,1.1065,0.9114
SU8_1610_1530,1.1065,0.9114
SU8_1620_1610,1.1065,0.9114
SW0_1520_1600,1.3131,0.6268
SW1_1160_1260,1.3131,0.8217
SW1_1170_1270,1.3131,0.7918
SW1_1180_1190,1.3131,0.5475
SW1_1450_1510,1.3182,0.5684
SW1_1510_1680,1.3182,0.7296
SW1_1560_1460,1.3131,0.8571
SW1_1570_1640,1.3131,0.8571
SW1_1830_1690,1.3131,1.1719
SW1_1890_1830,1.3131,0.8556
SW1_1910_1890,1.3131,0.8556
SW2_0880_0930,1.3131,0.4715
SW2_1000_1110,1.3131,0.4715
SW2_1030_1060,1.3131,0.8217
SW2_1050_0930,1.3131,0.4715
SW2_1070_1060,1.3131,0.8217
SW2_1100_1130,1.3131,0.8379
SW2_1190_1410,1.3131,0.8571
SW2_1240_1270,1.3131,0.7918
SW2_1360_1430,1.3131,0.5893
SW2_1770_1690,1.3131,1.1719
SW2_1950_1940,1.3131,0.7764
SW2_2020_1940,1.3131,0.7764
SW3_0930_1110,1.3131,0.4715
SW3_1040_1220,1.3131,0.8532
SW3_1060_1260,1.3131,0.8217
SW3_1080_1350,1.3131,0.8124
SW3_1090_1091,1.3131,0.7868
SW3_1091_1380,1.3131,0.7868
SW3_1130_1390,1.3131,0.8379
SW3_1220_1320,1.3131,0.7742
SW3_1250_1340,1.3131,0.7742
SW3_1270_1370,1.3131,0.7918
SW3_1370_1430,1.3131,0.5893
SW3_1380_1490,1.3131,0.7444
SW3_1390_1330,1.3131,0.7444
SW3_1580_1440,1.3131,0.7742
SW3_1600_1580,1.3131,0.7742
SW3_1660_1580,1.3131,0.7742
SW3_1690_1660,1.3131,1.1719
SW3_1750_1540,1.3131,0.8009
SW3_1800_1650,1.3131,0.8009
SW3_1870_1800,1.3131,0.6028
SW3_1920_1750,1.3131,0.7753
SW4_1110_1150,1.3131,0.4715
SW4_1150_1350,1.3131,0.8124
SW4_1260_1300,1.3131,0.8571
SW4_1430_1490,1.3131,0.5893
SW4_1490_1400,1.3131,0.7444
SW4_1720_1650,1.3131,0.8009
SW4_1860_1720,1.3131,1.084
SW4_1940_1860,1.3131,0.7764
SW5_1350_1470,1.3131,0.7742
SW5_1540_1400,1.3131,0.7444
SW5_1650_1540,1.3131,0.8009
SW6_1230_1440,1.3131,0.7742
SW6_1330_1230,1.3131,0.7444
SW6_1400_1330,1.3131,0.7444
SW6_1440_1470,1.3131,0.7742
SW7_1300_1410,1.3131,0.8571
SW7_1320_1300,1.3131,0.8571
SW7_1340_1320,1.3131,0.7742
SW7_1410_1460,1.3131,0.8571
SW7_1460_1640,1.3131,0.8571
SW7_1470_1340,1.3131,0.7742
SW7_1640_1680,1.3182,0.7296
SW7_1680_1760,1.3182,0.7296
TU0_9160_0000,0.8188,1.8477
TU0_9300_0000,0.8188,1.8477
TU1_8570_8680,0.7906,1.5732
TU1_9010_9290,0.8188,1.8477
TU1_9120_0000,0.8188,1.8477
TU1_9220_9200,0.8188,1.8477
TU2_8790_9070,0.9127,1.1461
TU2_8860_9000,0.8188,1.8477
TU2_8950_9040,0.9173,1.2232
TU2_8970_9280,0.8188,1.8477
TU2_9070_9090,0.8188,1.8477
TU2_9100_9200,0.8188,1.8477
TU2_9200_9180,0.8188,1.8477
TU3_8480_8680,0.7906,1.5732
TU3_8650_8800,0.583,2.9214
TU3_8880_9230,0.8188,1.8477
TU3_9040_9180,0.8188,1.8477
TU3_9060_9230,0.8188,1.8477
TU3_9180_9090,0.8188,1.8477
TU3_9230_9260,0.8188,1.8477
TU4_8680_8810,0.7906,1.5732
TU4_8800_9290,0.8188,1.8477
TU4_8810_9000,0.8188,1.8477
TU4_9090_0000,0.8188,1.8477
TU4_9260_0000,0.8188,1.8477
TU4_9290_0000,0.8188,1.8477
TU5_9000_9280,0.8188,1.8477
TU5_9280_0000,0.8188,1.8477
WL0_4390_0000,0.459,1.16
WL0_4391_0000,0.459,1.16
WL0_4392_0000,0.459,1.16
WL0_4420_0000,0.459,1.16
WL0_4421_0000,0.459,1.16
WL0_4422_0000,0.459,1.16
WL0_4423_0000,0.459,1.16
WL0_4600_0000,0.459,1.16
WL0_4601_0000,0.459,1.16
WL0_4602_0000,0.459,1.16
WL0_4603_0000,0.459,1.16
WL0_4770_0000,0.459,1.16
WL0_4771_0000,0.459,1.16
WL0_4772_0000,0.459,1.16
WL0_4920_0000,0.459,1.16
WL0_4921_0000,0.459,1.16
WL0_4922_0000,0.459,1.16
WL0_4923_0000,0.459,1.16
WL0_4924_0000,0.459,1.16
WL0_5880_0000,0.459,1.16
WL0_5881_0000,0.459,1.16
WM0_3650_0001,0.98,0.8198
WM0_3740_0001,0.459,1.16
WM0_3741_0000,0.459,1.16
WM0_3742_0000,0.459,1.16
WM0_3881_3880,1.0287,1.0448
WM0_3960_0000,0.459,1.16
WM0_3961_0000,0.459,1.16
WM0_3962_0000,0.459,1.16
WM0_3963_0000,0.459,1.16
WM0_3964_0000,0.459,1.16
WM1_3660_3910,0.6326,0.5536
WM1_3882_3880,1.0287,1.0448
WM1_3910_0001,0.98,0.8198
WM3_3880_4060,1.0287,1.0448
WM3_4060_0001,0.98,0.8198
WU0_3021_3020,1.486,0.6104
WU0_3160_0000,0.459,1.16
WU0_3161_0000,0.459,1.16
WU0_3162_0000,0.459,1.16
WU0_3250_0001,0.459,1.16
WU0_3251_0000,0.459,1.16
WU0_3252_0000,0.459,1.16
WU0_3253_0000,0.459,1.16
WU0_3540_0000,0.459,1.16
WU0_3670_0001,0.459,1.16
WU0_3671_0000,0.459,1.16
WU0_3820_0000,0.459,1.16
WU1_3240_3331,0.98,0.8198
WU1_3330_0001,0.98,0.8198
WU1_3331_3330,0.98,0.8198
WU1_3350_3490,0.98,0.8198
WU1_3482_0001,0.98,0.8198
WU1_3490_3480,0.98,0.8198
WU2_3020_3320,1.486,0.6104
WU2_3320_3480,0.98,0.8198
WU3_3480_3481,0.98,0.8198
WU3_3481_0001,0.98,0.8198
XL0_4953_0000,0.459,1.16
XL0_4954_0000,0.459,1.16
XL0_4955_0000,0.459,1.16
XL0_4956_0000,0.459,1.16
XL0_5320_0001,0.2966,1.6961
XL0_5340_0000,0.459,1.16
XL0_5341_0000,0.459,1.16
XL0_5342_0000,0.459,1.16
XL0_5343_0000,0.459,1.16
XL0_5344_0000,0.459,1.16
XL0_5345_0000,0.459,1.16
XL0_5346_0000,0.459,1.16
XL0_5347_0000,0.459,1.16
XL0_5348_0000,0.459,1.16
XL0_5349_0000,0.459,1.16
XL0_5350_0000,0.459,1.16
XL1_4690_0001,0.358,0.8364
XL1_4691_0000,0.459,1.16
XL3_4710_0000,0.459,1.16
XL3_4711_0000,0.459,1.16
XL3_4712_0000,0.459,1.16
XL3_4713_0000,0.459,1.16
XL3_4950_0000,0.459,1.16
XL3_4951_0000,0.459,1.16
XL3_4952_0000,0.459,1.16
XU0_4090_4270,0.9263,1.5727
XU0_4091_4270,0.9263,1.5727
XU0_4130_4070,1.0249,0.6864
XU2_4070_4330,0.3052,0.6279
XU2_4270_4650,0.4,1.1102
XU2_4330_4480,0.3052,0.6279
XU2_4480_4650,0.4,1.1102
XU3_4650_0001,0.4,1.1102
YL0_6581_0000,0.459,1.16
YL0_6870_0000,0.459,1.16
YL0_6930_0000,0.459,1.16
YL0_6931_0000,0.459,1.16
YL0_7010_0000,0.459,1.16
YL0_7230_0000,0.459,1.16
YL0_7370_0000,0.459,1.16
YL2_6580_0001,0.459,1.16
YM0_6621_0000,0.459,1.16
YM0_6622_0000,0.459,1.16
YM1_6370_6620,0.3872,1.1228
YM2_6120_6430,0.3872,2.3535
YM3_6430_6620,0.3872,1.1228
YM4_6620_0001,0.459,1.16
YP0_6781_0000,0.459,1.16
YP0_6840_0001,0.459,1.16
YP0_6860_6840,0.459,1.2022
YP1_6570_6680,0.5593,0.4198
YP1_6680_6670,0.5593,1.021
YP2_6390_6330,0.8013,2.8645
YP3_6330_6700,0.8013,1.1471
YP3_6470_6690,0.5593,1.021
YP3_6670_6720,0.5593,1.021
YP3_6690_6720,0.5593,1.021
YP3_6700_6670,0.5593,1.021
YP4_6720_6750,0.5593,1.021
YP4_6750_0001,0.459,1.16
YP5_6780_0000,0.459,1.16
