landseg,for,hvf,hwm,lwm,hom,hyw,pas,hyo,alf,trp,urs,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,nhi,nlo,nho,nhy,npa,nal
A36053,0.0588,0.6103,1.7198,1.7531,2.3151,0.8907,0.6392,0.3639,0.6354,7.7610,80.0680,0.4477,1.8537,6.1390,3.2717,0.4477,1.8537,3.2717,0.4477,1.8537,6.1390,3.2717,1.5478,1.5778,2.0836,0.8016,0.5753,0.3275
A36065,0.0588,0.6103,1.5499,1.5801,2.1743,0.8186,0.6030,0.3639,0.6354,7.3206,80.0680,0.5021,1.9402,6.1390,3.2717,0.5021,1.9402,3.2717,0.5021,1.9402,6.1390,3.2717,1.3949,1.4221,1.9569,0.7368,0.5427,0.3275
A36067,0.0588,0.6103,1.7169,1.7501,2.3850,0.9470,0.8167,0.3639,0.6354,9.9150,80.0680,0.4726,1.8460,6.1390,3.2717,0.4726,1.8460,3.2717,0.4726,1.8460,6.1390,3.2717,1.5452,1.5751,2.1465,0.8523,0.7350,0.3275
A36069,0.0588,0.6103,1.4991,1.5284,2.3771,0.8074,0.7672,0.3639,0.6354,9.3146,80.0680,0.3883,1.4860,6.1390,3.2717,0.3883,1.4860,3.2717,0.3883,1.4860,6.1390,3.2717,1.3492,1.3755,2.1394,0.7266,0.6905,0.3275
A36077,0.0588,0.6103,1.5573,1.5877,2.2210,0.7661,0.5470,0.3639,0.6354,6.6413,80.0680,0.5210,1.7147,6.1390,3.2717,0.5210,1.7147,3.2717,0.5210,1.7147,6.1390,3.2717,1.4016,1.4289,1.9989,0.6895,0.4923,0.3275
A36095,0.0588,0.6103,1.4922,1.5213,2.2564,0.7012,0.5815,0.3639,0.6354,7.0600,80.0680,0.5077,1.7564,6.1390,3.2717,0.5077,1.7564,3.2717,0.5077,1.7564,6.1390,3.2717,1.3430,1.3692,2.0308,0.6311,0.5234,0.3275
A36097,0.0588,0.6103,1.5147,1.5443,2.2508,0.7398,0.5513,0.3639,0.6354,6.6932,80.0680,0.4458,1.5287,6.1390,3.2717,0.4458,1.5287,3.2717,0.4458,1.5287,6.1390,3.2717,1.3632,1.3898,2.0258,0.6658,0.4962,0.3275
A36101,0.0588,0.6103,1.4309,1.4589,2.1344,0.6287,0.5401,0.3639,0.6354,6.5577,80.0680,0.3421,1.3636,6.1390,3.2717,0.3421,1.3636,3.2717,0.3421,1.3636,6.1390,3.2717,1.2878,1.3130,1.9210,0.5658,0.4861,0.3275
A36107,0.0588,0.6103,1.6317,1.6633,2.2530,0.7630,0.5660,0.3639,0.6354,6.8722,80.0680,0.5089,1.5715,6.1390,3.2717,0.5089,1.5715,3.2717,0.5089,1.5715,6.1390,3.2717,1.4685,1.4970,2.0277,0.6867,0.5094,0.3275
A36109,0.0588,0.6103,1.5455,1.5756,2.3562,0.7364,0.6861,0.3639,0.6354,8.3303,80.0680,0.6184,1.7100,6.1390,3.2717,0.6184,1.7100,3.2717,0.6184,1.7100,6.1390,3.2717,1.3909,1.4180,2.1206,0.6628,0.6175,0.3275
A36123,0.0588,0.6103,1.5020,1.5313,2.2762,0.7489,0.6846,0.3639,0.6354,8.3111,80.0680,0.4141,1.5007,6.1390,3.2717,0.4141,1.5007,3.2717,0.4141,1.5007,6.1390,3.2717,1.3518,1.3781,2.0486,0.6740,0.6161,0.3275
A42001,0.0588,0.6103,1.7868,1.8214,2.5099,1.4213,0.8757,0.3639,0.6354,10.6313,80.0680,0.5137,1.7445,6.1390,3.2717,0.5137,1.7445,3.2717,0.5137,1.7445,6.1390,3.2717,1.6081,1.6392,2.2589,1.2792,0.7881,0.3275
A42009,0.0588,0.6103,1.4946,1.5238,2.2722,0.6793,0.7795,0.3639,0.6354,9.4642,80.0680,0.4529,1.6180,6.1390,3.2717,0.4529,1.6180,3.2717,0.4529,1.6180,6.1390,3.2717,1.3451,1.3714,2.0450,0.6114,0.7016,0.3275
A42011,0.0588,0.6103,1.5976,1.6287,2.4711,1.4455,1.3953,0.3639,0.6354,16.9401,80.0680,0.7697,1.9363,6.1390,3.2717,0.7697,1.9363,3.2717,0.7697,1.9363,6.1390,3.2717,1.4379,1.4658,2.2240,1.3010,1.2558,0.3275
A42013,0.0588,0.6103,1.5150,1.5446,2.4728,0.9385,1.3839,0.3639,0.6354,16.8023,80.0680,0.4527,1.6946,6.1390,3.2717,0.4527,1.6946,3.2717,0.4527,1.6946,6.1390,3.2717,1.3635,1.3901,2.2255,0.8446,1.2455,0.3275
A42015,0.0588,0.6103,1.4435,1.4717,2.2623,0.5853,0.8043,0.3639,0.6354,9.7650,80.0680,0.4637,1.5541,6.1390,3.2717,0.4637,1.5541,3.2717,0.4637,1.5541,6.1390,3.2717,1.2991,1.3245,2.0361,0.5267,0.7239,0.3275
A42021,0.0588,0.6103,1.5299,1.5597,2.4911,0.6347,0.8119,0.3639,0.6354,9.8570,80.0680,0.5814,1.8962,6.1390,3.2717,0.5814,1.8962,3.2717,0.5814,1.8962,6.1390,3.2717,1.3769,1.4037,2.2420,0.5712,0.7307,0.3275
A42023,0.0588,0.6103,4.0621,1.2041,2.2188,3.1494,1.6373,0.3639,0.6354,19.8786,80.0680,0.6679,1.9949,6.1390,3.2717,0.6679,1.9949,3.2717,0.6679,1.9949,6.1390,3.2717,3.6559,1.0837,1.9969,2.8345,1.4736,0.3275
A42025,0.0588,0.6103,1.5025,1.3283,2.3664,0.6126,0.8062,0.3639,0.6354,9.7885,80.0680,0.9939,2.3751,6.1390,3.2717,0.9939,2.3751,3.2717,0.9939,2.3751,6.1390,3.2717,1.3522,1.1955,2.1297,0.5513,0.7256,0.3275
A42027,0.0588,0.6103,1.4313,1.4594,2.2242,0.7271,0.8609,0.3639,0.6354,10.4516,80.0680,0.3017,1.7167,6.1390,3.2717,0.3017,1.7167,3.2717,0.3017,1.7167,6.1390,3.2717,1.2882,1.3134,2.0018,0.6544,0.7748,0.3275
A42029,0.0588,0.6103,1.5492,1.5794,2.5545,0.9276,1.1319,0.3639,0.6354,13.7419,80.0680,0.4203,1.9084,6.1390,3.2717,0.4203,1.9084,3.2717,0.4203,1.9084,6.1390,3.2717,1.3943,1.4214,2.2990,0.8349,1.0187,0.3275
A42033,0.0588,0.6103,1.4407,1.4689,2.2941,0.6221,0.7278,0.3639,0.6354,8.8363,80.0680,0.5368,1.8122,6.1390,3.2717,0.5368,1.8122,3.2717,0.5368,1.8122,6.1390,3.2717,1.2966,1.3220,2.0647,0.5599,0.6550,0.3275
A42035,0.0588,0.6103,1.4056,1.4331,2.1907,0.8160,1.0848,0.3639,0.6354,13.1704,80.0680,0.5551,1.9067,6.1390,3.2717,0.5551,1.9067,3.2717,0.5551,1.9067,6.1390,3.2717,1.2650,1.2898,1.9716,0.7344,0.9763,0.3275
A42037,0.0588,0.6103,1.4484,1.4767,2.2402,0.6665,0.8212,0.3639,0.6354,9.9705,80.0680,0.5888,1.8571,6.1390,3.2717,0.5888,1.8571,3.2717,0.5888,1.8571,6.1390,3.2717,1.3035,1.3290,2.0161,0.5998,0.7391,0.3275
A42041,0.0588,0.6103,1.6247,1.6562,2.4159,0.8751,1.1699,0.3639,0.6354,14.2038,80.0680,0.3829,1.6897,6.1390,3.2717,0.3829,1.6897,3.2717,0.3829,1.6897,6.1390,3.2717,1.4622,1.4906,2.1743,0.7876,1.0529,0.3275
A42043,0.0588,0.6103,1.6613,1.6935,2.4240,1.3127,1.1499,0.3639,0.6354,13.9612,80.0680,0.4330,1.7181,6.1390,3.2717,0.4330,1.7181,3.2717,0.4330,1.7181,6.1390,3.2717,1.4952,1.5242,2.1816,1.1815,1.0349,0.3275
A42047,0.0588,0.6103,1.4880,1.5170,2.3707,0.5885,0.6820,0.3639,0.6354,8.2802,80.0680,0.6511,1.9475,6.1390,3.2717,0.6511,1.9475,3.2717,0.6511,1.9475,6.1390,3.2717,1.3392,1.3653,2.1336,0.5297,0.6138,0.3275
A42055,0.0588,0.6103,1.7191,1.7524,2.4845,1.3669,1.3862,0.3639,0.6354,16.8299,80.0680,0.2796,1.6988,6.1390,3.2717,0.2796,1.6988,3.2717,0.2796,1.6988,6.1390,3.2717,1.5472,1.5772,2.2360,1.2302,1.2476,0.3275
A42057,0.0588,0.6103,1.6461,1.6781,2.2395,0.7690,0.7401,0.3639,0.6354,8.9858,80.0680,0.4636,1.5994,6.1390,3.2717,0.4636,1.5994,3.2717,0.4636,1.5994,6.1390,3.2717,1.4815,1.5102,2.0156,0.6921,0.6661,0.3275
A42061,0.0588,0.6103,1.5011,1.5304,2.2604,0.7613,0.8187,0.3639,0.6354,9.9400,80.0680,0.4752,1.6345,6.1390,3.2717,0.4752,1.6345,3.2717,0.4752,1.6345,6.1390,3.2717,1.3510,1.3773,2.0344,0.6852,0.7368,0.3275
A42063,0.0588,0.6103,1.5065,1.5359,2.3479,0.6372,0.7833,0.3639,0.6354,9.5098,80.0680,0.6432,1.8496,6.1390,3.2717,0.6432,1.8496,3.2717,0.6432,1.8496,6.1390,3.2717,1.3559,1.3823,2.1131,0.5735,0.7050,0.3275
A42065,0.0588,0.6103,1.4358,1.4639,2.3051,0.6015,0.7102,0.3639,0.6354,8.6220,80.0680,0.6695,1.8423,6.1390,3.2717,0.6695,1.8423,3.2717,0.6695,1.8423,6.1390,3.2717,1.2922,1.3175,2.0746,0.5414,0.6391,0.3275
A42067,0.0588,0.6103,1.7171,1.7503,2.3859,2.1864,1.1416,0.3639,0.6354,13.8598,80.0680,0.4159,1.6597,6.1390,3.2717,0.4159,1.6597,3.2717,0.4159,1.6597,6.1390,3.2717,1.5454,1.5753,2.1474,1.9678,1.0274,0.3275
A42069,0.0588,0.6103,1.5121,1.5416,2.4115,0.5964,0.7459,0.3639,0.6354,9.0554,80.0680,0.4428,1.8039,6.1390,3.2717,0.4428,1.8039,3.2717,0.4428,1.8039,6.1390,3.2717,1.3609,1.3874,2.1703,0.5368,0.6713,0.3275
A42071,0.0588,0.6103,2.1423,2.1833,2.7212,3.0343,2.2971,0.3639,0.6354,27.8890,80.0680,0.2690,1.7260,6.1390,3.2717,0.2690,1.7260,3.2717,0.2690,1.7260,6.1390,3.2717,1.9281,1.9650,2.4491,2.7309,2.0674,0.3275
A42075,0.0588,0.6103,1.8730,1.9091,2.5996,2.8464,1.8734,0.3639,0.6354,22.7445,80.0680,0.2604,1.7872,6.1390,3.2717,0.2604,1.7872,3.2717,0.2604,1.7872,6.1390,3.2717,1.6857,1.7182,2.3397,2.5617,1.6860,0.3275
A42079,0.0588,0.6103,1.4522,1.4806,2.3594,0.6358,0.7583,0.3639,0.6354,9.2062,80.0680,0.4822,1.8433,6.1390,3.2717,0.4822,1.8433,3.2717,0.4822,1.8433,6.1390,3.2717,1.3070,1.3325,2.1235,0.5722,0.6825,0.3275
A42081,0.0588,0.6103,1.4043,1.4319,2.2610,0.6983,0.8037,0.3639,0.6354,9.7582,80.0680,0.5992,1.7502,6.1390,3.2717,0.5992,1.7502,3.2717,0.5992,1.7502,6.1390,3.2717,1.2639,1.2887,2.0349,0.6285,0.7234,0.3275
A42083,0.0588,0.6103,1.4804,1.5288,2.2795,0.5890,0.6139,0.3639,0.6354,7.4534,80.0680,0.8007,2.1261,6.1390,3.2717,0.8007,2.1261,3.2717,0.8007,2.1261,6.1390,3.2717,1.3323,1.3759,2.0515,0.5301,0.5525,0.3275
A42087,0.0588,0.6103,1.4834,1.5123,2.3854,1.4534,1.1109,0.3639,0.6354,13.4873,80.0680,0.5351,1.7279,6.1390,3.2717,0.5351,1.7279,3.2717,0.5351,1.7279,6.1390,3.2717,1.3350,1.3611,2.1468,1.3081,0.9998,0.3275
A42093,0.0588,0.6103,1.4552,1.4836,2.2526,0.7936,0.9067,0.3639,0.6354,11.0082,80.0680,0.5293,1.7167,6.1390,3.2717,0.5293,1.7167,3.2717,0.5293,1.7167,6.1390,3.2717,1.3097,1.3353,2.0273,0.7142,0.8160,0.3275
A42097,0.0588,0.6103,1.5245,1.5542,2.3359,1.4223,0.9434,0.3639,0.6354,11.4533,80.0680,0.3580,1.7561,6.1390,3.2717,0.3580,1.7561,3.2717,0.3580,1.7561,6.1390,3.2717,1.3720,1.3988,2.1023,1.2801,0.8490,0.3275
A42099,0.0588,0.6103,1.6632,1.6955,2.3532,1.2709,0.9494,0.3639,0.6354,11.5263,80.0680,0.5084,1.7256,6.1390,3.2717,0.5084,1.7256,3.2717,0.5084,1.7256,6.1390,3.2717,1.4969,1.5260,2.1179,1.1438,0.8544,0.3275
A42105,0.0588,0.6103,1.4344,1.4625,2.2303,0.5785,0.6864,0.3639,0.6354,8.3339,80.0680,0.5985,1.8305,6.1390,3.2717,0.5985,1.8305,3.2717,0.5985,1.8305,6.1390,3.2717,1.2910,1.3163,2.0073,0.5206,0.6178,0.3275
A42107,0.0588,0.6103,1.6630,1.6953,2.3244,1.5273,0.9474,0.3639,0.6354,11.5026,80.0680,0.5508,1.9569,6.1390,3.2717,0.5508,1.9569,3.2717,0.5508,1.9569,6.1390,3.2717,1.4967,1.5257,2.0920,1.3746,0.8527,0.3275
A42109,0.0588,0.6103,1.7102,1.7434,2.3679,1.9011,1.1576,0.3639,0.6354,14.0545,80.0680,0.5100,1.7470,6.1390,3.2717,0.5100,1.7470,3.2717,0.5100,1.7470,6.1390,3.2717,1.5392,1.5690,2.1311,1.7110,1.0419,0.3275
A42111,0.0588,0.6103,1.4947,1.5239,2.3708,0.6065,0.8649,0.3639,0.6354,10.5004,80.0680,0.5694,1.7888,6.1390,3.2717,0.5694,1.7888,3.2717,0.5694,1.7888,6.1390,3.2717,1.3452,1.3715,2.1337,0.5458,0.7784,0.3275
A42113,0.0588,0.6103,1.4913,1.5204,2.3838,0.6116,0.7797,0.3639,0.6354,9.4659,80.0680,0.6962,1.8694,6.1390,3.2717,0.6962,1.8694,3.2717,0.6962,1.8694,6.1390,3.2717,1.3421,1.3683,2.1454,0.5504,0.7017,0.3275
A42115,0.0588,0.6103,1.5204,1.5500,2.2782,0.5864,0.6904,0.3639,0.6354,8.3817,80.0680,0.6386,1.8761,6.1390,3.2717,0.6386,1.8761,3.2717,0.6386,1.8761,6.1390,3.2717,1.3684,1.3950,2.0504,0.5278,0.6213,0.3275
A42117,0.0588,0.6103,1.4293,1.4573,2.2375,0.5305,0.6696,0.3639,0.6354,8.1297,80.0680,0.4504,1.5165,6.1390,3.2717,0.4504,1.5165,3.2717,0.4504,1.5165,6.1390,3.2717,1.2864,1.3115,2.0137,0.4774,0.6026,0.3275
A42119,0.0588,0.6103,1.5526,1.5828,2.3870,1.7043,1.3866,0.3639,0.6354,16.8343,80.0680,0.7176,1.8760,6.1390,3.2717,0.7176,1.8760,3.2717,0.7176,1.8760,6.1390,3.2717,1.3973,1.4245,2.1483,1.5339,1.2479,0.3275
A42127,0.0588,0.6103,1.5175,1.5471,2.3066,0.5595,0.7239,0.3639,0.6354,8.7889,80.0680,0.7654,2.1159,6.1390,3.2717,0.7654,2.1159,3.2717,0.7654,2.1159,6.1390,3.2717,1.3658,1.3924,2.0759,0.5036,0.6515,0.3275
A42131,0.0588,0.6103,1.3929,1.4202,2.2372,0.5401,0.6819,0.3639,0.6354,8.2783,80.0680,0.4067,1.6045,6.1390,3.2717,0.4067,1.6045,3.2717,0.4067,1.6045,6.1390,3.2717,1.2536,1.2782,2.0135,0.4861,0.6137,0.3275
A42133,0.0588,0.6103,1.6335,1.6652,2.4844,1.2191,0.9500,0.3639,0.6354,11.5343,80.0680,0.3232,1.7127,6.1390,3.2717,0.3232,1.7127,3.2717,0.3232,1.7127,6.1390,3.2717,1.4701,1.4987,2.2359,1.0972,0.8550,0.3275
A51001,0.0588,0.6103,1.9979,2.0363,1.9266,1.1599,0.6460,0.3639,0.6354,7.8426,80.0680,0.6729,1.8856,6.1390,3.2717,0.6729,1.8856,3.2717,0.6729,1.8856,6.1390,3.2717,1.7981,1.8327,1.7339,1.0439,0.5814,0.3275
A51003,0.0588,0.6103,1.4143,1.4420,2.2304,0.6004,0.5412,0.3639,0.6354,6.5706,80.0680,0.3516,1.8389,6.1390,3.2717,0.3516,1.8389,3.2717,0.3516,1.8389,6.1390,3.2717,1.2728,1.2978,2.0074,0.5404,0.4871,0.3275
A51005,0.0588,0.6103,1.5619,1.5923,2.0131,0.5592,0.4377,0.3639,0.6354,5.3135,80.0680,0.4134,1.5417,6.1390,3.2717,0.4134,1.5417,3.2717,0.4134,1.5417,6.1390,3.2717,1.4057,1.4331,1.8118,0.5033,0.3939,0.3275
A51007,0.0588,0.6103,1.9569,1.9945,2.1178,1.8379,0.7210,0.3639,0.6354,8.7532,80.0680,0.3880,1.7738,6.1390,3.2717,0.3880,1.7738,3.2717,0.3880,1.7738,6.1390,3.2717,1.7612,1.7951,1.9060,1.6541,0.6489,0.3275
A51009,0.0588,0.6103,1.3716,1.3985,2.0839,0.5667,0.5163,0.3639,0.6354,6.2678,80.0680,0.3395,1.7428,6.1390,3.2717,0.3395,1.7428,3.2717,0.3395,1.7428,6.1390,3.2717,1.2344,1.2586,1.8755,0.5100,0.4646,0.3275
