BMP,Shortname,Landuse_Type,HGMR,TN,TP,BOD,SED
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,VRCN,0.22,0,0.11,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,VRSN,0.22,0,0.11,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPDN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPDT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPLN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPLT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPUN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,CPUT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,PCAN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,PCRN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,PCRT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,APSN,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,BR_N,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,ML_N,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,VRCN,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Hi_Till,VRSN,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPDN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPDT,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPLN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPLT,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPUN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,CPUT,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,PCAN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,PCRN,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,PCRT,0.29,0,0.145,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,APSN,0.22,0,0.11,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,BR_N,0.22,0,0.11,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,ML_N,0.22,0,0.11,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,VRCN,0.22,0,0.11,0
Cover Crop Standard Drilled Wheat,CoverCropSDW,Low_Till,VRSN,0.22,0,0.11,0
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPDN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPDT,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPLN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPLT,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPUN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,CPUT,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,PCAN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,PCRN,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,PCRT,0.35,0.07,0.21,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,APSN,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,BR_N,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,ML_N,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,VRCN,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Hi_Till,VRSN,0.27,0.07,0.17,0.1
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPDN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPDT,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPLN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPLT,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPUN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,CPUT,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,PCAN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,PCRN,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,PCRT,0.35,0,0.175,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,APSN,0.27,0,0.135,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,BR_N,0.27,0,0.135,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,ML_N,0.27,0,0.135,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,VRCN,0.27,0,0.135,0
Cover Crop Standard Other Rye,CoverCropSOR,Low_Till,VRSN,0.27,0,0.135,0
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPDN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPDT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPLN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPLT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPUN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,CPUT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,PCAN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,PCRN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,PCRT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,APSN,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,BR_N,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,ML_N,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,VRCN,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Hi_Till,VRSN,0.19,0.07,0.13,0.1
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPDN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPDT,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPLN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPLT,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPUN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,CPUT,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,PCAN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,PCRN,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,PCRT,0.24,0,0.12,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,APSN,0.19,0,0.095,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,BR_N,0.19,0,0.095,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,ML_N,0.19,0,0.095,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,VRCN,0.19,0,0.095,0
Cover Crop Standard Other Barley,CoverCropSOB,Low_Till,VRSN,0.19,0,0.095,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPDN,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPDT,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPLN,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPLT,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPUN,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,CPUT,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,PCAN,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,PCRN,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,PCRT,0.114230769,0,0.057115385,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,APSN,0.084615385,0,0.042307693,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,BR_N,0.084615385,0,0.042307693,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,ML_N,0.084615385,0,0.042307693,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,VRCN,0.084615385,0,0.042307693,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Hi_Till,VRSN,0.084615385,0,0.042307693,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPDN,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPDT,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPLN,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPLT,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPUN,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,CPUT,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,PCAN,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,PCRN,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,PCRT,0.1512,0,0.0756,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,APSN,0.112,0,0.056,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,BR_N,0.112,0,0.056,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,ML_N,0.112,0,0.056,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,VRCN,0.112,0,0.056,0
Commodity Cover Crop Early Other Wheat,ComCovCropEOW,Low_Till,VRSN,0.112,0,0.056,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPDN,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPDT,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPLN,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPLT,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPUN,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,CPUT,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,PCAN,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,PCRN,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,PCRT,0.073846154,0,0.036923077,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,APSN,0.055384615,0,0.027692308,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,BR_N,0.055384615,0,0.027692308,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,ML_N,0.055384615,0,0.027692308,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,VRCN,0.055384615,0,0.027692308,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Hi_Till,VRSN,0.055384615,0,0.027692308,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPDN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPDT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPLN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPLT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPUN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,CPUT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,PCAN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,PCRN,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,PCRT,0.12,0,0.06,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,APSN,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,BR_N,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,ML_N,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,VRCN,0.09,0,0.045,0
Commodity Cover Crop Standard Other Wheat,ComCovCropSOW,Low_Till,VRSN,0.09,0,0.045,0
